,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,-0.018276110857358127,,,,,,,
BMP1,0.0996609416626977,0.029480019218462737,-0.008723562633831448,0.0016521174296980914,-0.03315847699843015,0.02589730357918923,0.12256200656409523,-0.0784167076804487,0.03446713378142313,-0.06421737105961275,-0.0004333272603799348,-0.005371728097137128,0.06729065671358947,-0.010951829819519933
NDP,-0.05510295982436052,-0.0975336233522259,-0.01647432976294726,0.009685182233868793,-0.034526603375036935,0.05781622144215523,-0.028505746349522073,-0.02033670003238964,0.0765954838691581,0.007376575305457767,0.030504596911443433,-0.009666755400198247,-0.065214656626755,-0.018919359737997063
TNFSF18,-0.01871250935819782,0.005359005903300834,-0.0387826568410938,-0.029361832927848424,,-0.011440817213872651,0.07496481769233783,-0.013134252457674401,,-0.05914459923140956,,,,0.01619823187099867
IL36G,,,,,,,,,0.061618447800611736,,,,,
RTN4,-0.017492676024896278,0.07531592059491857,-0.029575827459203445,-0.024474380944059074,-0.002359152358090995,0.08091668080306037,-0.16864839739059279,-0.01921765084999584,0.008920679280000184,-0.06176923355736241,-0.07900357287931015,-0.004077927170413415,0.04369433717948663,-0.06440786822750832
HEBP1,0.006179952153525075,0.07977693638170105,0.010160079009983766,-0.04242807386621442,0.009279724322894058,-0.028335110628386784,0.025085159551061862,-0.003399661143191703,0.04435692166266848,-0.03232053798847289,-0.01277085407339459,0.004597921601198364,0.036104851906635545,-0.02121337173934163
WNT7B,-0.01648513465248117,-0.03905769184278432,0.051824807239023225,-0.018238660434470286,-0.007190611244271519,0.0017487440579124643,-0.07564425838529214,0.058107372271862814,0.05510645330265099,,0.07273340267862494,-0.018576272119856137,-0.020069969760610144,-0.034217071474449134
PTMA,0.03895076003682299,0.04884798969818648,0.014197053186992258,-0.03544659834877957,0.025876713775617968,-0.08654628642685892,-0.09685177403438908,-0.006975162542425808,-0.049871395074003295,-0.07602649116729346,-0.04433928943896765,-0.008692372845129045,0.041733114058183175,0.07384079285103236
FASLG,0.011741374636482078,,,,,,,,,,,,,
CEACAM1,-0.022889760208586907,,0.02971633145397045,-0.013997074901897957,0.050391808118460994,,-0.0020746738959861125,0.035319648807368306,,-0.041588690948206906,-0.024907864320777656,-0.019381574955951088,0.09834762781888477,
PDAP1,0.025762775966388863,-0.03729429687558532,0.025948767496561106,-0.023940635330497423,0.000880350235260758,-0.04607534627309019,0.14007780529811115,-0.02827348034983242,0.007788521953091482,-0.07553659845105133,-0.028791941567903087,0.007355775582817363,0.010739831084330726,-0.006835599183293451
QDPR,0.00791627067438779,-0.04694872566614376,0.047784558717475056,0.02194043395748782,-0.044545005501561506,-0.001965845249811559,-0.09712489969646762,-0.023331614586345514,-0.059306478402699606,-0.0266423442851857,0.020498583103509785,0.04291451987438649,-0.09286142966792003,-0.053666517279018715
POMC,-0.006878603571448964,0.005379283313728342,0.02633703508979838,0.06549375555618657,-0.008069845068014902,-0.03018318331333486,-0.0375049096598578,-0.015239947919666716,0.018972299258683132,-0.03874159877647862,0.04590273077840473,0.009004611871201088,-0.021790965738158214,-0.049244084592718194
CCL18,,0.14788966977376136,-0.008467821608209197,,,,,,,,0.02313450941275058,0.004177022417292059,-0.0004806986880890676,
CCL17,,,,,-0.03277168571575836,,,0.0003369831611387015,-0.012195421273645066,,-0.017670924161070772,-0.027978520213219078,,
VEGFD,,0.0013312818826043031,0.06952926394124384,-0.020048001572703776,0.02767082313324945,,0.07290697754260154,0.06319113708951632,-0.013070210711855464,0.021290270598847204,,0.06502253413177149,,
TNFSF13,,,0.02174042677827062,,0.024899682666839507,-0.011095206008352499,,,,,0.05727948101231684,-0.017049566640965894,-0.014958287923668706,-0.026826086667266963
WNT5A,0.02440918002006238,0.07147877794776544,-0.004603798190188171,-0.033645625003487015,-0.10458233524854883,-0.02190291197006154,0.14089785438702263,0.0349912211508761,0.11126656711687237,-0.060006252710767635,-0.000726658122226349,0.036990268180479416,0.05726076228090471,0.08254818677707391
CXCL8,,0.10645685979208089,-0.045466803675616244,-0.0187717603897301,0.10676583043775403,0.00800196753298737,0.06363215311171676,-0.01979679819299157,-0.004889537439704433,-0.09227518403123743,-0.034334775831134486,-0.07380664131308555,-0.04343842344525006,0.05333423208553037
GRN,-0.07792170568762344,-0.0028980274440218562,0.030524904599095265,0.013133124685171693,-0.036296630062589465,-0.0776020713196225,0.03198578721983797,0.048852264536313826,0.04697304905254571,-0.030890915700494456,-0.009110864871842846,-0.006002112392773443,-0.0009001430410768836,-0.04887383698300067
MIA,0.17734550423971246,0.08696090580842789,0.061886169473201254,-0.01782929058540768,-0.0011158218055003087,-0.020062272297986298,0.024344891028735976,-0.02366509056910944,-0.017900252545754954,0.06176986700317345,0.07760261067978588,0.08247412614766446,-0.0535234707949726,-0.049141329703877065
COL4A4,-0.019091800027732433,0.03439662964786764,0.0032461567544534485,-0.029983556372242037,0.011709939109255905,-0.010556598326131945,0.025294704923838687,-0.017102239459482138,-0.01736390905261302,-0.044271083134192736,-0.02716876385831764,0.05136644909369722,0.029717448721209096,0.03809001705733996
TAC1,0.09606661987007555,-0.04155314815412553,0.11503809036750512,-0.00391468900776597,-0.031186252304438458,0.04480426062854185,-0.08692857688107322,0.014665865813102197,-0.019101642185376078,,,,-0.0229820555105071,-0.029912339756579656
RARRES2,0.08017123099388612,0.03029635744251639,0.049632123905941676,-0.025337477522746673,0.032813533595202476,-0.025644996161000782,0.08490842396019746,0.0313267379353452,0.04193429421904321,-0.0008875147084682687,-0.0078419225870121,-0.05726567382881376,0.008591085592474693,0.133959185905312
FGF7,-0.014033996879402997,0.05191380067893813,,-0.008028701113476705,0.03071334062385175,-0.030256986107769144,0.01207856869069092,0.06443588826193536,0.03357529787347091,-0.05586887900329105,0.0830472969940836,0.09743694815445286,-0.02019377826757615,0.004476573374626781
EFNA2,,,,,,,,,,,,-0.018420889920994908,,
HBEGF,0.01919691056176079,-0.05558150093892686,-0.030369734342842056,-0.010930212895783447,0.03771027473412787,-0.05533305418911415,0.09086087565528145,-0.026871453846329243,0.011970075390849268,0.018126015228707965,0.05470151849962643,0.058152227383467245,0.03915307500670226,0.12964974564777965
CSF3,,0.08853312800512633,,,0.05599731194191637,,-0.019053969598635402,,,,0.03022898943060496,-0.06368517113858055,-0.019097087227030535,0.01646849115054523
PI3,,0.0804345768579356,-0.03240649900441609,,0.08011718997356064,,-0.0025525825881503703,,,,-0.06574215417295039,-0.05882655059290715,-0.046590917369194025,0.046952517797700356
PCSK1N,0.04295094354969242,-0.1226978957434723,0.07626434693475523,-0.064973678458517,-0.1067535954057661,-0.018045132855126052,-0.04456708987979451,-0.0111379168788911,-0.010931232898641782,-0.0230498203829891,-0.09555503148579289,-0.044866375792483926,-0.033797237618935334,-0.05673660760994169
NTS,,,,,,-0.01288720801073809,-0.023419620664730714,-0.01953732057448037,,,-0.0412244265923653,-0.022442358757590933,-0.03553600652730448,
SFRP1,-0.023986281061255492,-0.024304290125564683,-0.0107289162106851,0.046915960514243356,0.06253225209912995,-0.03922164904382091,0.012958970527405056,-0.003634834418327493,-0.02455273112316333,0.11023108059731339,0.015827501389499517,0.006824805510014807,-0.011969575137125927,-0.0012258093451782014
CXCL13,,,,-0.0338461279668481,,,,,,,0.06821284827605902,-0.029505994055727573,-0.031151323292256092,0.11699017227852754
MICA,0.013868225251878594,0.05221048010505255,-0.03522701116726169,-0.013482964130651058,0.04337961059447128,0.02834445776554079,0.0836484845053988,-0.04957316486108448,0.024815438017674815,0.04533996894456048,0.02707484629985866,0.0779205541233099,0.00025942447818227455,0.1171885080608756
TG,-0.019091795725321787,-0.02644832508027719,0.026329269490363738,-0.01903320167566993,-0.029812334856352513,-0.014875235283499471,-0.006158687964497068,0.06600769993066079,0.053511111009174675,-0.012153662119398822,-0.023480240225820063,0.045023554802959734,-0.01571719624478041,-0.028190931378330574
