,UKF251,UKF259,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,-0.023395959194353687,
BMP1,-0.031414271998904224,0.04413535637145666,0.07145010606214867,-0.011981038226828484,0.01920034683363937
NDP,-0.001186481107304508,0.03763546763744998,0.019663377841750384,0.05625359186783928,-0.026084737250258262
TNFSF18,0.02441006930578645,,,0.015939417946523808,-0.02855811538921952
RTN4,0.017026488162887408,0.003149823708334673,-0.04929545083276642,0.00253266991529234,-0.00291620078599772
HEBP1,0.012313508922079107,-0.07192444979759785,0.04322363790683042,0.00674778725632023,0.04327373474655147
WNT7B,-0.016593100838911436,-0.00014071701888648016,-0.012449573421929505,-0.049936702757247264,0.10287103677468676
PTMA,0.04609979065852714,0.006861680910361977,-0.10056082532650179,-0.014785320978455422,0.09069013115552135
FASLG,,,,0.06366523287238265,
CEACAM1,0.038635235887117016,0.12464141332269646,0.15971799962252692,-0.02823237403493818,
PDAP1,0.009100049261306573,-0.055672921388858695,0.004985061477326302,0.026775647654170353,-0.004007153704947709
QDPR,0.0012787542037474512,0.02567797033767541,-0.08871999920952436,0.019069471412772748,-0.01078047081017066
POMC,-0.02262665398806912,0.020736804452471193,0.04588545730026909,0.036424079263661896,-0.05138702629059556
CCL18,,,-0.0213797087934949,,
CCL17,,-0.016698953877671768,,0.07232636032415278,
VEGFD,0.017935636924570435,-0.01860447868053523,,,
TNFSF13,,-0.011518564651194437,,-0.0021143404998756983,-0.03106715602285345
WNT5A,0.038399278522066746,-0.053830013741701356,0.10487194944410715,0.008342303622424375,0.062372511220050386
CXCL8,-0.017078102538823955,-0.03930238888782731,-0.03764234342142561,0.005771101986639696,0.0202568639930021
GRN,-0.03644125681817902,0.06687414285323774,0.017765847763799626,-0.03167180192597887,-0.0161996145042
MIA,-0.016220665856073117,-0.01723157857210846,-0.027397278583470002,0.02401346663038245,-0.005794604430951116
COL4A4,-0.02727832870080227,0.04264955159935338,0.08117835121206851,0.0029606726263694196,-0.034722250977425144
TAC1,-0.04339909467817204,-0.007384025296820532,,-0.02417787951914501,-0.021189533501745156
RARRES2,0.0022887719157426057,-0.021014654346285192,0.050434317398707226,0.03857645033394262,-0.021199983229084673
FGF7,-0.020586305831854706,-0.029600445124783215,0.028617922841889208,-0.027395850919993046,0.015642409292341702
HBEGF,-0.01685365921614455,-0.04038726215824643,0.029572616130064747,-0.012803268376869079,0.08827469749091292
CSF3,,-0.01990369698967553,,-0.01936371872933867,-0.036523835251156656
PI3,,-0.03434777189106111,,-0.04207092783395542,0.005240813883402218
PCSK1N,-0.02106054401371374,-0.00398608359458513,0.0625605681727982,0.03781660513385051,-0.04091942893474381
NTS,,,,-0.02867502697788958,
SFRP1,0.01285908262075949,-0.014570482732793398,-0.036357629361694316,-0.02800869199743762,-0.019912062856647254
CXCL13,-0.019675924467269897,,,,0.09400641216822686
MICA,-0.0017339366172658382,0.05629205384734261,0.04780004332500312,0.018546599693183688,-0.05543333717366224
TG,-0.017315955622203665,0.02121356332891578,0.006934329971542052,-0.014633025570073973,0.06418601446828176
ADA,0.07275119553206616,0.0774638708560214,0.07450217680814586,-0.0029381487475428937,-0.01919666735468831
LAMC3,0.012568565551001634,-0.027331848973389437,0.06609041183997358,0.020418329345475123,-0.08189551677513343
CCL7,,-0.011368325174633155,,-0.0002550102071817168,-0.03514450228840391
NGF,,-0.026047736581662696,0.05851051162663602,0.0014977041874046507,0.08312895631901776
TNFSF15,,-0.012659186099615815,-0.03208662680870146,-0.02146918854988075,-0.040422604190105654
HMGB1,0.04407384363060036,-0.016919023437997487,-0.05416434833566656,-0.026125432360217662,-0.017578383634869882
ITGB3BP,-0.03521666516056707,0.02696744777743797,0.06760719967803973,0.0830871477971966,0.0270335673750199
AANAT,,0.08830634579017943,0.03945134803540496,0.03765658435440768,-0.02230140881982351
RELN,-0.032334615248510445,-0.01999365084291716,,,0.007796146967440634
IL15,0.07136261914571275,0.026196893469969736,0.10965165069626125,0.07623051771239643,-0.0024503182777412045
BSG,-0.07965828236103467,-0.006288175799356239,0.06955511235495536,0.021071454890255213,-0.04361372602779898
ADAMTS3,0.0039658567730772145,0.008162927991800285,-0.02666349886759126,0.06302212880255882,-0.043774265884948434
CD34,0.0541746735532247,0.012556607957797278,0.07167817049939183,0.031944911619438986,0.004376001201837136
PLAT,-0.024262791166651282,0.02457297412653379,0.05632888637944216,-0.02346804179476394,-0.030121874860559995
LTA,-0.012734208192809364,0.025514358402405877,,0.016039405636913053,
CKLF,-0.002661445426741327,-0.012161468278312904,0.033881969259200236,0.025838319041451206,-0.05068856140216805
CD24,-0.012174293166926397,-0.061734850676035506,0.038889656962916956,0.0043786754536597975,-0.05211300325961565
HSP90AA1,0.0502185948515286,-0.022856459125458483,-0.05571358414125467,-0.10450252657529434,-0.02172944667963007
BMP4,-0.013499007163734686,-0.03399468373946505,0.07370992508776027,-0.04258323430850961,-0.017614135560532793
SCGB3A1,,,,0.04959847154493354,0.041722793573705785
IGFBP4,-0.02011029882124603,0.0030042943459919007,0.051259296029497727,0.021054895666322553,-0.037662214776545785
RSPO4,-0.020586301923545852,-0.008930258731556139,,-0.03810828652490188,0.008554104103959893
LEFTY2,-0.012890603644175484,0.024256419933431833,0.04548474111269847,0.024471786992915096,-0.009245232692985796
PF4,-0.011583493111274837,-0.009918639745506703,,-0.028894088135772864,-0.022028921817768592
ANGPTL2,-0.017711607109765534,0.11745428363226756,-0.023076358270046646,0.010602072911091786,0.037089243110846035
LRIG2,0.0033460855426447537,-0.0570595497012677,0.014688851787471377,0.04190866622947556,0.0057333418333422445
ICOSLG,-0.005980546986152491,-0.04300878954644212,-0.001943164704175816,0.039118506625551386,0.014164777298887394
WIF1,,,,,-0.01460959917357203
NPPC,,-0.015386256245574255,-0.02666344765874503,,0.0057058750880048265
LYZ,-0.009483081135979246,0.013470866859151092,0.07933206820986098,0.05261012659331719,0.02478472601483084
EREG,,,,-0.033540202787989234,-0.025361814701222462
SPTAN1,0.02851254776796856,-0.027494522417884287,0.07111033305080637,0.03135919887636446,-0.012652929211886167
LIPC,-0.017433776207316776,-0.017824534336706204,0.0005817136114517643,-0.01234988804563515,-0.03435278494633552
COL8A1,0.041363215985479033,0.0437342698043055,0.04006363154882624,-0.05506396312062122,-0.08163089679102667
GSTM2,-0.00012820568046836468,-0.02122041612588494,0.09280029869311891,0.023191754390181063,-0.013348386983576797
SPX,-0.04554581970729513,-0.019236337949259805,0.1058588864326063,0.08320853758902463,-0.014767590605206323
MFGE8,-0.04286572585888962,-0.04461197908718284,0.03423069699218253,0.01748230655872123,0.043657732662346675
TGFA,0.02357494797454897,-0.0390294632002767,-0.04320526167550225,0.015127069825252689,0.019748312984434843
SLIT2,-0.030203597506928262,0.003990435620505351,0.01776156318440842,-0.031388062366843356,0.03899276824812325
PLTP,-0.056689894725605726,-0.011870432203805105,0.027706078187337026,-0.03866158063748593,-0.04935310005005399
APOD,0.0007668378417689835,0.028204678073477277,-0.005452777795470157,-0.03370613236551627,-0.006283933144174605
B2M,0.01815743261055692,-0.01477041866846242,-0.05493035957093633,-0.022360953519220912,0.061697218923319086
OMG,0.015267073415152767,0.0016776694701967274,-0.023798309130274968,0.06528952722003402,0.022268099800736168
CXCL3,0.07445122250051542,-0.017841523376692266,,-0.004021079760348656,0.06886957013959062
CXCL10,-0.010699698427210944,-0.0324454087113545,0.0018092910398222724,0.032330730631301915,-0.029319091857376252
RSPO3,,-0.011518565029457313,,0.020247955816884038,-0.02115588576784292
CORT,-0.020687385176753368,-0.025831266533169105,,,
NCAN,-0.0035619532769496347,-0.03905767928054142,0.09911047044466192,0.027732572325667115,-0.03254169297698009
PRG4,,-0.011368326946217878,,-0.028024790883398522,-0.030661258010300896
ZG16B,0.031780768154187164,-0.01319433376452781,0.030802085119816063,0.006610475396117923,-0.018792929592629928
TGM2,-0.010466499422384612,-0.055576158030962435,0.045543347191439335,0.01747968951080392,0.029308381872521844
