,UKF259,UKF260,UKF275,UKF296,UKF334,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.018139012713457695,
BMP1,-0.023448870468476685,0.010988399044320757,-0.04376622498085341,0.001984898892482384,-0.013046913030192273,-0.09500778880575289,-0.027129680091815628,-0.01176354165589236,-0.021835250352932985
NDP,0.008202521282256245,0.02914779662244479,0.02229948665128162,0.008595238088684825,-0.01793984815907951,-0.028741729853735416,-0.05646421235186326,0.08626195508693951,0.015157377190797655
TNFSF18,,,-0.01325936928265575,,,-0.014487726937507333,,-0.036244426335830915,-0.026348564147422697
IL36G,,,,,-0.01355278551991761,,,,
RTN4,-0.005536719071549177,-0.005474679887001492,0.0046862758223395725,0.010004285999763043,0.0066545536057358795,-0.027128478684544127,-0.040825133741462724,-0.05844991574628433,-0.07505873532317868
HEBP1,-0.037270213590497446,-0.005672312814102389,0.03683757192259587,0.04340963720371673,0.05416718584519257,-0.05350938986286532,0.00496532866695933,0.04464407032393011,0.004964215973019604
WNT7B,0.04923466324752781,0.02182247638055662,0.01278480057691475,-0.013333401584137572,0.21152691733894674,,0.023139285352360383,-0.007516935997111206,0.0964666696010336
PTMA,-0.028709013118988286,0.0047847483020575345,-0.002358070024182805,-0.0244498978356641,0.027397908282277002,-0.03728284385876389,0.00623325970282964,-0.06392784092800788,-0.01566552137937971
FASLG,,,,,,,,-0.01863551291275648,
CEACAM1,0.05175544867609582,0.0037831720003546915,-0.02085382904853965,,,-0.027285700844265157,-0.017644154092330725,0.0069908323773564705,
PDAP1,0.040378902073593084,-0.13381524904518258,-0.04881776079549288,0.03625838068497219,0.06164430709737541,-0.005460826676170865,-0.019616230662305317,0.06486175622464177,0.03791788491684767
QDPR,-0.03493304665692907,0.053583865459055656,0.035663938208784045,0.02131975633223942,-0.008514553192987722,0.11139653566740573,0.041617541139350574,0.034562102609248656,-0.04734897980181993
POMC,-0.03908930354712083,-0.03453183035202821,-0.015385123589369613,-0.018199143279510877,-0.0290369882369869,0.056871785652144666,-0.03198711896210813,-0.004325596657502255,-0.021032724993840908
CCL18,,,,,,,-0.03228858555528783,,
CCL17,-0.024329528215426152,,-0.01653701501537699,-0.016503013435922934,-0.012380854335895192,,-0.012517673327445217,0.007191649165632985,
VEGFD,0.015311150526854491,0.07086447144260087,-0.01761879077891013,-0.012105159933213695,-0.013268945068149606,-0.0370943123636284,,,
TNFSF13,-0.01678196405208095,,,,,,-0.024019534931987992,-0.02752247356028931,-0.0116286998598341
WNT5A,-0.012784576226185384,-0.00757096092977972,0.01958768721764614,-0.004641064660181674,-0.00886637594014159,-0.043881172742579036,0.031543051650660854,0.041577834694440555,0.07890417899146152
CXCL8,-0.008015512230830024,-0.03165975393704275,0.01008429393286619,-0.011272851279661135,0.018919894327690052,-0.06980777017615072,-0.031513554353479786,-0.01839966921397287,0.07463041454852537
GRN,-0.03726432117254607,-0.01585218669973085,-0.000910335468412203,-0.018648333262484086,0.04862881194623724,-0.06525250835580254,-0.03512547310544659,-0.04023645443227183,-0.010987915712452482
MIA,0.025589590760910396,-0.032553483068138225,0.045199905910001406,0.06802363000309543,0.01976927563057243,-0.0687871392985347,0.08489418017290999,0.04467259370443447,-0.000543962659386323
COL4A4,0.0032881137968628392,-0.021841818506437946,-0.001068611402441671,-0.023127582911059125,-0.01762792968429197,-0.02904557712469325,0.04795937094693103,-0.012460469637667866,0.03178182152710721
TAC1,0.014591420523562356,0.015305765080987858,0.04487482334804837,0.03888652531497256,0.015743456144363187,,,-0.022204936157484007,-0.020186183755305016
RARRES2,0.11503948137541986,-0.08944048294139247,0.012947006584529748,0.054589747994167895,-0.008747821005206899,-0.07008536861923452,-0.05110151549632214,0.07731265421878444,0.01657603722712954
FGF7,0.02814483052486431,0.029391504792024077,-0.01601720316298545,-0.04800810945704681,-0.014264143705391997,-0.04588189639776495,0.02698694512681111,0.07669684538411228,0.06848791710448476
HBEGF,-0.010962552788191764,-0.0733508844727074,-0.029714094717497256,-0.031087211382788527,-0.015935722863486605,0.015618595770745222,0.0529754141791735,-0.0565682061049596,0.07086746326841699
CSF3,-0.019123395910758872,0.0030612197078797128,,,,,-0.06692633272117121,0.005770824777341346,-0.0035896768373494745
