,UKF269,UKF313,ZH1019T1,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,-0.013231781339424776,,,,-0.017544613595358183,
BMP1,0.03292463827822008,0.03205849506185419,0.039680540931512236,-0.011173323030606834,0.019173374794549627,0.03270891976101657
NDP,0.058067548767791084,-0.010569089187718785,0.007803427156323576,0.027852201002404757,0.036228760347798566,-0.010097349473318924
TNFSF18,-0.019648798060084707,,-0.05237693032235118,,-0.029594626480428796,-0.031469303933059814
RTN4,-0.06942473309904622,-0.01771104464804657,0.10739925936348722,-0.02178814129086625,0.001994185016902991,-0.10111158349910608
HEBP1,0.014526585937369368,-0.06133047524362097,-0.010473859181409927,0.032839670037132306,0.03598705114151189,0.04066406626766583
WNT7B,-0.054765934303476815,-0.0232455124523341,,0.057413806638658374,0.04778945809865923,-0.0066667873081209085
PTMA,-0.00411278102540716,-0.013373825678537959,-0.014178290626234777,0.016902723355431068,-0.027032337651451382,-0.08695968755512337
FASLG,,,,,0.03883509746637347,
CEACAM1,0.051356256914095795,,-0.03682987113445888,-0.01920074655539715,-0.021171437734519318,
PDAP1,0.04810084661593907,0.018406760414914233,0.012588505596886785,0.002637352617080118,-0.03831384823681611,-0.02415125792891158
QDPR,-0.012942824906131127,0.009962506013547737,-0.01406142606056051,0.06824152243324914,0.05100215502684946,0.005996096811494506
POMC,0.09749756602572697,-0.02691781995770544,0.005468588952175573,0.003643351836018999,0.04577588738329809,0.00899264419474715
CCL18,,-0.0027364039431428218,,0.008321702334677581,,
CCL17,,,,0.04802363356000966,0.01596500792016481,
VEGFD,0.012524764163012994,0.023943527194109478,0.04877516380878639,-0.01920074655539715,,
TNFSF13,,,,0.023820602144928867,-0.02247289879241418,-0.019721656278064038
WNT5A,0.09124238214523613,-0.023076407563130348,0.004612702723066162,0.0018675969370511736,-0.007183685508682203,-0.031051758312194075
CXCL8,0.006217460570197055,0.004220085977803301,0.007945897762635115,-0.07399610049016914,-0.013686834197019876,0.004792747474117922
GRN,0.07120753689491911,0.0033774982799652485,0.10239047038909127,-0.072876041103308,0.03884391957893485,0.01219243816813605
MIA,0.017024813704978083,-0.024664523730266397,0.05711225682669369,0.11602361216703747,0.04335018758845213,0.04561288641025991
COL4A4,0.015878313169075627,,-0.03920532841117313,-0.003014361876243528,0.014284658349432766,-0.012324353388174654
TAC1,-0.07117643931835708,,,,0.07186542445919031,-0.03307664846905945
RARRES2,0.09559153554574379,0.05653504731266159,-0.04138273207471148,-0.034070366600643796,0.010149103390649512,-0.05638315909539609
FGF7,-0.03715898909289876,0.056282605310191136,0.05930165561953499,0.04418206944842534,0.02208115307269053,0.07554660694080433
EFNA2,,,,-0.018249024627861397,,
HBEGF,0.06794843150077161,-0.024286323460545153,0.028417609240815305,-0.008431539303716897,0.016080863545987784,0.04782083728515685
CSF3,0.15322783304231796,-0.027322457683782705,,-0.008457268929805827,-0.014520839263450089,-0.015487704837666939
PI3,0.18060344748792878,,,-0.10569654394048421,0.06064581716679057,0.012587389016913426
PCSK1N,-0.04225389802315813,0.04644308324050953,0.09447372399720869,-0.028384103979672302,0.05287091532913501,0.009244508327281608
NTS,0.0052811201305167,,,-0.02223297351165421,-0.0215033828698487,
SFRP1,0.041939524906117846,0.0012668277277933862,-0.046776738584911284,0.10379973863303729,-0.02100369872952409,-0.027361005805094797
CXCL13,,-0.0176231940287593,,0.0038729583692927315,,0.046666271148493116
MICA,0.04630160942357444,0.08115977571103833,0.053009251428193696,-0.07644095265870211,0.04714850263349015,0.012888766097579317
TG,-0.01664926541865345,0.04857314195209026,-0.028294544479186955,0.01747729531059626,-0.01400200993198769,0.03602519031831735
ADA,0.08670074630929066,0.0007713025416431037,0.03959927168351744,0.03507293078908991,0.07150271276734183,0.0022378758067931365
LAMC3,0.019843808040278937,-0.002638586524957313,-0.0014753179532566373,-0.004048979347800481,0.02312359533134979,0.03079154571857265
CCL7,,,,,0.011809325841018561,-0.023602772011721836
NGF,,-0.04222450333294572,0.0046814013191547625,0.026890844481083295,-0.008477320834725974,0.04947238311537822
TNFSF15,,-0.017399478093574033,0.05745356618424495,,0.024641395888521215,0.015782699545752957
HMGB1,0.043026799228014403,0.040332192981340345,0.04722286977785995,-0.036665355088405335,-0.032820029576807595,-0.011213789681190835
ITGB3BP,0.05863560971293945,0.018828291107352492,0.07036860345254195,-0.03140442143594592,0.043504872746116315,-0.07441723284893156
AANAT,-0.012443414462155973,,,-0.02455824448045145,0.08706882095083676,-0.02457479433504127
RELN,-0.03651288227826212,,-0.021511162519091236,,,-0.023866447833288267
IL15,0.01627726170627661,0.03510529772523477,0.019380424327019263,0.03720010552647049,0.019490677911883053,0.03173882352074971
UTS2,0.04446548787232612,,,,,
BSG,-0.004008394588690838,0.01689338738415678,-0.013051898113412059,-0.004413231312593197,0.006794438935430459,0.1459032428892363
ADAMTS3,0.047769881741216554,-0.03413698640790804,,0.01954040949869895,0.07703209046266575,0.09410545573374118
CD34,0.003895319750116513,-0.018759621231973726,-0.021619145554676478,-0.02908591582481823,0.019144295618030778,-0.049355187155148736
CCL23,-0.014158630395897688,,,,,
PLAT,0.0524829249031645,0.028831771889945776,-0.057341368625591804,0.05751447132894112,0.031717038943733046,0.09069922304693612
NTF3,,0.0088219374860412,,0.05312457891332785,,
LTA,,,,,0.11422799076983875,
CKLF,0.04167292145535876,-0.0420652911507753,-0.0026694603319314314,0.002413137635501908,0.020628036346514653,0.11015421047228004
APELA,,-0.032075005352717276,,,,
CD24,-0.0396743253690026,0.06423105181554543,-0.05873742905286186,0.045427688867866224,0.06464932135407997,-0.05239893466458553
