,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.02004351552960565,,,,,,,,,,-0.034855156283141724,,,,
BMP1,-0.08594022927983672,0.04724223206207393,0.01830585697264472,0.007680939283703481,0.027070284942498118,0.009233014320583982,-0.06168050255705894,0.02668384932709093,-0.006837686559036201,-0.042111801124096446,0.0045198239752076005,-0.10146175199028452,-0.0819471350703282,-0.035752283498350634,-0.015611054786490206,0.007000753375291159,-0.06847147863290222,-0.08013086479784082,0.0039309272910512845,-0.0623085624990664,0.03980800011936563,-0.01668239790572823,0.1742854586155769
NDP,0.07553279078310286,0.06098556687178029,0.03032694351710563,0.0026434906681122826,0.03289358396910961,0.08252176097576377,0.1358697834422162,0.055741659841282695,0.07111627087676761,0.05988894174932365,-0.0435040760812899,-0.016440926967944754,-0.0002612218653665445,-0.0682821973563999,0.0777012956478722,-0.035521500143304914,0.006138358829443447,0.12595632790664468,0.07781538288441281,-0.01809872342825042,-0.020225205187540837,0.07573212634663758,0.0021136668548895196
TNFSF18,-0.016139413593912008,-0.01745462740342958,-0.0009103518141265328,-0.015716690448870217,,,,-0.0010433857930933887,0.039416002475217184,-0.03736370934199562,,,,-0.030976024168609246,,,,,0.04773179801695373,,0.003406603455519746,-0.04600857275973663,
IL36G,,,,,,,,,,,,,0.04428211896559797,,,,,,,,,,
RTN4,0.01204365559606168,-0.0662967010724107,-0.0319429045876725,0.08157634483286903,-0.035399971090203514,0.06274429106589995,0.18870724286317594,0.05145890064344357,-0.05301538939141276,0.09391032218512638,0.06643698359794077,0.2928725148232373,0.17815868053032333,-0.030897130162359888,-0.014390047825418683,0.02290643652082558,0.10906873184241231,-0.010725728169562094,0.01498377286422688,0.20863701419761616,0.05645177394839929,0.25942963948570186,0.036927770806460265
HEBP1,-0.06204568444587815,-0.07893321657390164,-0.052665367764523775,0.09641738596657617,0.0060155616683513855,-0.04552969031824542,-0.01669681073781275,0.011382811043919678,0.009280953731474539,-0.007866762415471209,-0.02942729381460867,-0.06767027032556394,0.007719508629895402,-0.03807852651569316,-0.08806895881496218,-0.030656864839480383,0.06763480254973057,0.037698431324320124,0.013091057016008044,0.012230904889448157,0.07411654814396881,-0.0317926116179681,-0.039029871435600494
WNT7B,-0.021692251610153316,-0.0029930690289416586,-0.021743035544721033,-0.04868249692704945,0.09210618966272302,-0.020589146366479374,0.02618360729471466,0.007620190657507651,-0.027190926802099467,-0.00812899923189586,0.022443111344213344,,0.0840718088889395,-0.03410157918210386,0.050377915243992794,-0.007291090175387469,-0.04495140555856521,0.01398127188950773,-0.04096433312560654,0.008018730821512587,-0.02965773809411642,0.06320613435674285,-0.03198202310387077
PTMA,-0.016521634907045033,-0.04585843197036336,0.10545524332704763,-0.006768556932265645,0.0649027651150098,0.046071108026811636,-0.17474338965820133,-0.00532388253263552,-0.010128570847567311,0.10012451968610257,-0.011809576817183844,-0.33443192735962674,-0.16870386936560255,-0.1216102808840644,-0.08680420918966651,-0.1084080698863936,-0.01930832183405281,-0.025285140671520226,-0.028513215150977263,-0.03192184564766822,0.026741333397551866,-0.10819009828027618,-0.12186769534019705
FASLG,-0.021524175274598857,,,,,,,,,,,,,,,,,,,,,,
CEACAM1,0.01470693746216417,,-0.014846854477293104,0.0012220702118084657,,-0.013082097106754518,0.05559783893983658,,-0.009020575460838967,0.017944238706451125,,,,,0.059920382040409725,0.07675562979771221,0.11056288023524839,-0.02351515326203419,0.003016944706301674,-0.011089258018223764,,,
PDAP1,0.08689264941994147,-0.01726041345064366,0.02802049929550583,0.05112375764102836,0.037116867104588634,-0.01007601459387102,-0.12343357409684678,-0.025658697345719943,0.053380310176794774,-0.0473819475584888,-0.04180877304994636,-0.05189269910573559,-0.09202445482483443,0.046354330637410304,0.03593418361180212,0.02493808799242894,0.005480378236025798,-0.03231401422944329,-0.009000974142366877,-0.018452178829514023,0.05344390791245672,-0.06316163057470224,0.08086982042242692
QDPR,-0.054712434149712615,0.027942366837517895,0.007613092464232697,-0.09995166806607475,0.033931334634851935,0.05300729608674554,0.16542878682667875,0.06954757303854966,-0.05150825226616811,0.1528936966241261,0.011747779978708591,-0.1991688857022499,0.005234506383110285,-0.012996622407081078,0.11534693972635374,-0.07684118251190002,0.09914977787174226,0.1441638314654683,-0.09286968103062333,0.03940775347297239,-0.024706813335211786,0.15782294963076615,0.0002495274400060598
POMC,-0.06529910261752586,-0.00550281746083862,0.015064883866920729,0.01045932673805575,,0.020938555498743627,0.09359446407107232,0.04142580348495959,-0.018851806061612627,-0.00807264330027895,-0.0322584272685773,0.029793556319280087,0.04793750834680754,-0.04459171991304696,-0.1015281533001205,0.015159660958855233,0.0660339081240612,0.07336972628426049,-0.05150651423199729,-0.0506838999912675,,0.042307579500930725,-0.07995182182265693
CCL18,,-0.010488415990354324,-0.005601111261626088,,,,,,,,,-0.13032036710651873,,,-0.061850087219594875,-0.019372872235351474,0.015209657996513339,-0.04910350801016554,,-0.03443307140973524,,,
CCL17,,,,,,0.008593429919800787,,,,-0.0465998200402339,-0.00683528519013857,,0.031658601182288165,,,,-0.055306265118055836,0.00016045715315921036,0.03432383491996729,,,,
VEGFD,,-0.00470656874318738,0.04797331196983451,0.024938652534546846,,-0.001966670451880116,-0.02913692417831798,,0.03394820668462503,0.08072155717519092,0.06033980001418725,0.029027156658471658,-0.007479155502258503,,-0.036639401961042685,,,0.025201034262979895,-0.017797445465480326,,,,
TNFSF13,,,0.06738303896255893,,,-0.021639214986121657,,0.003450345997636792,,,,,,,,,0.07554622965229683,0.07388778927421777,-0.007498762462088479,-0.007515199343213765,,0.02742396718148458,
WNT5A,0.11821181431261944,0.043539432724092685,-0.03263426479325088,-0.005699722443210693,-0.021447489793517065,-0.009440500532705415,-0.08042835306796829,-0.06434984875739105,0.012588821814220153,-0.034865332734366324,-0.07958356611595739,0.006063537428859352,-0.005687606780977533,-0.05162615893903851,0.0649093460131922,0.05449549890654654,0.00040145895720939735,-0.024132657191727257,-0.09546561549853569,0.03571585156739739,0.00407895497862675,-0.11503242147624333,0.10914231775128003
