,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.033070482134315224,,,,,,,,0.09114007359217852,,,0.025246208807655098,,
BMP1,-0.04038717213017374,-0.03265580353975479,0.1012722482838178,-0.06719522809941908,-0.09632500399002011,-0.010195919250962469,-0.19428948312695335,-0.045995886433588304,-0.004387174526855955,-0.12240952770906927,-0.21475435233480966,0.057355673875177406,-0.0861244125940962,-0.04318774577435067,0.07319701938772663,-0.011906728317774362,-0.033903869894017655,-0.012090722458412,-0.06204066950764586,0.008013555739249069
NDP,-0.06715886469317775,0.04013168727468782,0.02853823459516531,-0.015465533918187184,0.13555699444176386,-0.004825284152864659,0.024614161188654587,0.02512180485533199,0.03470593725053458,-0.05051435511311136,-0.03470463030293171,-0.045049319762290756,0.0486240550335903,0.12033281339343731,0.010334312195149326,-0.0005386619290670977,-0.002097435338570487,0.08579056343766593,0.041191044618527496,-0.0889380860974491
TNFSF18,-0.027092448991975177,-0.004475682586553616,-0.021451175441369253,,,-0.004632702794785829,-0.018364092028904253,-0.02602847334902053,,,,,,,-0.022749595324182723,,0.07365753565818847,0.0366778330721561,-0.01881948021033046,
IL36G,,,,,,,,,,,-0.02730747840726523,,,,,,,,,
RTN4,0.265789462504894,0.04967394355315884,0.01257120652326266,0.03702867156698513,0.1595390666158973,0.027465134830257632,0.25049451013492025,0.08347696981657518,0.03101921930899477,0.29883599387959464,0.31349719277247656,0.05538760258613328,0.03922801521703628,0.056369311082497126,-0.05044403362301519,0.09432139261105514,0.02594469171616862,0.05241914607334267,0.19995493933498518,-0.044022706763273384
HEBP1,-0.09084244899725814,-0.0005774181460245429,-0.03031182337328118,-0.043554001148762095,-0.012163780999347524,-0.014512775680387632,-0.13757142237153863,-0.013738087748547767,0.03497178467654696,-0.09289002554287988,0.015894024779327214,0.023942957037457236,0.03918369512049709,0.03015365943411334,0.010794498969665571,0.029163880295481216,-0.012589798718919281,0.09496483537213841,-0.003703664453133723,-0.018655691700407352
WNT7B,0.18836646081707542,0.017882019313336075,0.09289972491092234,0.008184182599551396,0.08517324843677461,0.006645754556562732,0.14223175798875667,-0.010354066842540127,0.0098526500728181,,0.10535642144295979,0.05973657345262474,0.004178896205618542,0.033407816096933926,-0.04757124421724011,0.031690250798154546,-0.033665893992205695,-0.04155554978149018,0.06603634900068096,-0.0012498280516673793
PTMA,-0.02981228779053866,-0.03268539736865306,-0.0304673153626786,0.03982524204184906,-0.1638588227636218,-0.043511411922117466,-0.05405756522693421,0.02190583336579496,-0.08705637257176749,-0.4459741921734798,-0.2721466412459734,-0.039795107848185775,-0.07838240933811963,-0.004023595217239557,-0.034344088236869984,-0.04588912573101456,-0.16847607528173586,-0.06551478947991787,-0.14000666860077615,-0.21650803733321353
FASLG,,,,,,,,,,,,,,,,,,-0.025987027202894274,,
