,UKF248,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,-0.01843917070432166,,-0.02389292255899762,
BMP1,0.07428204993171474,0.026714944832492933,0.05568786223942405,0.07586987315775094,0.027259230038013792
NDP,-0.06346757234555196,0.004837738934796499,-0.013019304587481345,-0.030082476136527016,-0.041769332343520545
TNFSF18,-0.02723213112352285,-0.01901599127689073,,-0.03008508151488827,-0.02601889209247456
RTN4,0.016749267575800645,0.010292901721415648,0.019281557141593183,-0.013503502065416678,-0.010377110997668698
HEBP1,0.03925286635248141,0.02442980410084116,-0.038854592445182336,0.03361612060459385,-0.012138813952526039
WNT7B,0.026051751611009765,-0.03976397611364433,-0.005508679486615779,-0.03256109596086228,-0.03679960696961345
PTMA,0.018203650139450866,-0.001260049745687876,0.021958967719292944,0.023202718267576337,0.02971766449805944
FASLG,,,,0.08166422709138679,
CEACAM1,-0.01733250514458667,-0.027323994168531783,-0.014826660991910582,0.03074195653400611,
PDAP1,0.025468987395391003,0.0008766679966000778,-0.00660619131902755,-0.05639096248787493,-0.021928080557195098
QDPR,0.019610592924345204,0.06953344971663339,-0.03228238961436539,0.03986495881827957,-0.018855676172838825
POMC,0.034434777669564084,0.03021954655203978,-0.024254469669081048,0.05905097248338771,-0.043402043892138094
CCL18,-0.021629328775557188,,-0.020527940490556337,,
CCL17,,-0.002586577231620471,,-0.018782458805616627,
VEGFD,-0.006181796707232714,0.015301895097172159,,,
TNFSF13,-0.01632219075818291,0.0557572048608633,-0.01664934657350659,0.054683101577254915,-0.028304843270009157
WNT5A,0.021952007293552105,0.04660752361891855,-0.0017251456253147078,0.04588549945510953,-0.036706736557189173
CXCL8,-0.06402398944781312,0.02389862516215297,-0.02322989648573318,-0.030778905774977963,-0.03040903165206704
GRN,0.057490177861397235,0.004813303808208146,0.009616826103195914,0.0534915379370525,-0.0862098874992134
MIA,-0.024759616977949032,0.06483074041864159,-0.019493130175418184,0.013549530873235991,0.03534566781824269
COL4A4,-0.01256855975321585,0.006402158899630412,0.019679505801087835,0.041540231618273936,-0.03163494821267107
TAC1,-0.012585304719016458,,0.031846493047094575,0.043046719880938666,0.034610756121848545
RARRES2,0.010517910516340354,-0.009748055496977211,0.014620591672348394,-0.0238535012566402,-0.009958969566481261
FGF7,,-0.006720418410444444,0.0063626270343962055,-0.05176112212883522,-0.05326371097874694
HBEGF,0.06156667224011296,0.02222247684131142,0.018437817562608132,-0.0019422614684173171,-0.005870745324588567
CSF3,,,-0.02125604383401487,-0.019775031586050835,-0.03327634597911521
PI3,0.05156089467242843,-0.02065614376018701,-7.953074752044839e-05,-0.04296457402629023,-0.04843260112486969
PCSK1N,-0.016396898526067738,0.02851679009802196,0.006887416754316337,-0.07383254643149785,0.006563222512649624
NTS,,,0.012756941758116801,-0.02928412523155839,
SFRP1,-0.019530072996637622,0.051621610336051525,0.001160051760579402,-0.028603636350806195,0.009824488848400278
CXCL13,,,0.05598737345084148,,-0.026991636812050773
MICA,0.12814819057396518,-0.014899718903256217,0.04886455412928972,0.006603405984669418,0.06083771114343289
TG,-0.024267363572026242,,-0.0174940507081097,-0.03856508352937847,-0.029744923446954775
ADA,0.018898763903179162,0.14591710699121782,-0.02283532791440786,0.05142741137619133,0.09996322007347014
LAMC3,0.09330807802639077,0.09809587029866453,-0.01176939475814004,0.12660617142124506,0.031790621420719825
CCL7,-0.013758080298612627,,,-0.0207223162156194,0.03037770187375619
NGF,-0.023621940659021918,,-0.02611950037831171,0.1842413096180595,0.10160304364549172
TNFSF15,,,-0.013199638299676601,-0.014876240519055577,0.024657765938579154
HMGB1,-0.00894269549482126,0.0006476466738410858,-0.005771891805849756,-0.06448111528627874,-0.018039309124168845
ITGB3BP,0.05510758407902682,-0.02223205718286657,-0.003518041325908962,0.041333371060023445,0.08455953517214394
AANAT,-0.019960881367508374,-0.030071904087796947,,-0.02192507472184879,-0.020318495870080815
RELN,-0.04309308753365592,0.016612478425249367,-0.015943732590478505,,-0.06902754236973944
IL15,-0.018371664990829793,-0.010858980608384963,0.015102457153562513,0.14002408330418228,0.018989512939121485
BSG,-0.0307894200546639,0.05714270272195786,-0.03829416633331151,0.02472469343631759,0.0006805253473880137
ADAMTS3,0.010168459178546519,0.03333335941117697,0.008694333379351911,0.025849704134709543,-0.011782867626701766
CD34,0.0638687108103431,0.03787244790301967,0.0315626281898362,0.07051796147520287,-0.009200052880185994
PLAT,0.07436441323747042,0.037873851756067896,0.013354186211350797,0.04039153090075319,-0.03995540341015606
NTF3,,,0.014324441260324382,,
LTA,,,,-0.0295078463875471,
CKLF,0.05181898701070536,0.009415273401224437,-0.030829467903880716,-0.01638815413041968,-0.09691179917734725
CD24,0.03891798490511961,-0.013007594194613059,0.029691063354601144,-0.06551062454118511,-0.009244203091055383
HSP90AA1,-0.027281315006398372,-0.05119150979660406,-0.03678753845962436,-0.0627777599863405,0.003993828012784204
BMP4,0.08476079449054866,0.0346145368656661,0.061271657639262594,0.08611459806005248,-0.05634771492419364
SCGB3A1,0.01136802760001623,,0.02741762063799672,-0.03334243536416374,-0.02818798930294632
IGFBP4,0.09845169135647032,0.061393604417511675,-0.03282462968317406,0.10060746232902804,0.021514103301496144
RSPO4,,,0.06205752103817896,-0.0389177605941164,-0.025620818458206053
LEFTY2,0.10377932105758608,0.07332144390985806,0.00445476223458475,0.11583966237025131,0.004950721276189964
PF4,-0.014271798387719678,,,-0.029507839559212573,0.005618788609269012
ANGPTL2,0.09783862760790375,0.03630938672531932,0.021633927465887687,0.062429446799678275,0.005134711812394211
LRIG2,-0.010348369515884588,0.027468702399403244,-0.040056335384934506,0.0023083862633144184,0.010160389321653527
ICOSLG,0.0541299811121821,0.005018790793883693,0.058784523459059095,0.042576001582536986,0.013658573407631172
WIF1,-0.025679784695850447,,-0.01716079283469864,,0.10509670309993481
NPPC,-0.042681245942546284,-0.010947977423288862,0.09304315533780841,,-0.024690671864128634
LYZ,0.06280951863192911,-0.009291940173276747,-0.00026705136861847925,0.10418003066429657,0.012295727737662871
