,UKF248,UKF313,ZH1019T1,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.032449605950403526,
BMP1,0.07046379715546332,-0.08036696126743788,0.03457092171384592,-0.06137458907018836,0.03992737714849243,0.14251685734294076
NDP,-0.03607971219332023,0.01070362882856739,0.028857596603457672,0.0624751156342208,0.02759881821566389,0.028183231959313562
TNFSF18,-0.026566996377869103,,-0.05558325074859932,,0.006381117205162833,0.02879505503504684
RTN4,-0.07630161178907566,0.023749969396187516,-0.0783952129449435,-0.014996115836875358,0.01991333920793757,-0.03639579576295043
HEBP1,-0.05667984911099791,-0.02055776992995814,0.06781939633021512,0.026872979361308568,0.003851236906340337,0.10338337484800812
WNT7B,-0.0042313102506748275,-0.04002813609252114,,0.08298332485398034,0.004558483739047678,0.06472795111108272
PTMA,-0.03496553618070694,-0.03268704248953975,0.02147608190707855,0.027713833687525925,-0.06553007677427433,0.01953222169350823
FASLG,,,,,0.0021166557938868758,
CEACAM1,-0.016909165107459396,,0.012870100833087223,0.0071818722036305314,0.006623885475902435,
PDAP1,-0.027162815406690955,0.04448924345442091,0.044269714342468625,-0.015070717078650623,0.010429490493217893,-0.019451546045613406
QDPR,-0.053846481008438946,-0.03163446057590754,-0.0481679293835667,0.04071958030232364,0.02200231967224624,-0.07027574523679805
POMC,0.012379563608030185,-0.007875990531006107,0.018822004292425736,0.024383441098828302,0.02375111959065555,0.01842605647964794
CCL18,-0.02110104040809392,0.019776454021144165,,0.017822951003284338,,
CCL17,,,,-0.02438621165947677,0.07511852571501373,
VEGFD,0.04283568747999938,-0.022214494672330533,0.04272606066189887,0.007048913925429097,,
TNFSF13,-0.01592352727682657,,,0.006004148802089104,0.1310498511759961,0.03348806436686082
WNT5A,0.031585641505531246,0.06407511047164602,0.11045943106578447,0.0101422126015872,0.008877955953701997,0.1217397949333488
CXCL8,0.04894191223763141,0.14873154048836668,0.05816782911891119,-0.044129155051622654,0.014811151235343701,0.04977520880378225
GRN,0.11967667657622091,0.019107439192271734,0.07354335615895441,-0.08768145032344382,0.022367926494022475,0.04228995572329254
MIA,-0.025567861893822916,-0.005312027768827896,0.0892922976913814,0.13481000137276297,0.02325032023972783,-0.00033028993852727683
COL4A4,0.0012669568854389755,,-0.0179213930261052,-0.027048451528844452,0.01648640001120237,0.10928571425185571
TAC1,0.0015315383041705484,,,,0.003973503067559606,-0.00460678674239256
RARRES2,-0.03548560692906388,0.10001432808679313,0.00012178206165444807,0.02105487379706526,0.01616170226462347,0.02001129597311332
FGF7,,-0.021947355965583348,0.10764233423749271,0.040937588113032636,-0.005131814273266073,-0.03443056404995246
EFNA2,,,,-0.01605573551231141,,
HBEGF,0.07230182785599282,0.07478775593307382,0.039484916041719734,-0.04862388984537739,-0.007427510466698607,0.07973931241909915
CSF3,,0.07422875819205196,,-0.07064608730609241,0.005061712041215141,0.06369586095955372
PI3,-0.0221991841661939,,,-0.10133741336588849,-0.05131905735151349,0.0037188419299785365
PCSK1N,-0.014687117387114043,-0.024027989365489617,-0.057467934133487344,-0.03721612150380002,0.04332849037098656,-0.06345617450408829
NTS,,,,0.022581465596531288,0.08371572192709699,
SFRP1,-0.04054962723730051,0.006372446388152016,-0.01800872584141766,-0.01191511435939902,-0.0388473501322577,0.007473343500508744
CXCL13,,0.04617757523696468,,0.00031359791947888765,,0.07028944258578856
MICA,0.13306489034605717,0.0400076599933221,0.05883032093121257,0.010249353015578395,0.044035052799981905,0.031304361537192925
TG,-0.03322901952854078,0.019911358723552958,0.03961621735832237,-0.02409134594886216,-0.0445035292234646,-0.015817189615622448
ADA,0.13470895080285242,0.03193999286218113,0.043644653210844334,0.12341811541399668,0.03320974926310534,-0.03485523882541301
LAMC3,0.1060447480839698,-0.056444477962001756,-0.04303968236510149,4.1915039806905033e-05,0.031756701553303006,0.07969335246592998
CCL7,-0.013422044268285312,,,,-0.028143522162937827,0.027856130051226172
NGF,0.18732623100417442,-0.025826711504666772,-0.014659376324774013,-0.015839919415089613,0.034800473355041654,0.016150014851471585
TNFSF15,,0.05340702022856548,0.008624308812178674,,0.034687924276073666,0.05729047253975335
HMGB1,-0.0215425742743216,0.04872946220332554,0.051498883180499826,-0.04210032877429649,-0.08897380447850502,-0.04935316050866126
ITGB3BP,-0.004868304817157269,0.05544853344368062,0.036631035992320635,-0.012849910567501276,0.004817241111965253,-0.03678278777717399
AANAT,0.0333760037084211,,,0.01598093357422817,0.04333383487475243,-0.033617146500104264
RELN,-0.024182691821870717,,0.050554905380288395,,,0.032434621157787974
IL15,0.014969562127255477,0.07804451554896273,-0.04406481109717936,0.005364727621124826,0.051338562151191224,0.06092700252826874
BSG,0.02515090463309959,-0.015978169569906223,0.05991640028529326,0.04127115538597036,0.054161328860419466,0.08241196750794101
ADAMTS3,0.06566815028350699,0.02599147558421152,,0.07368543693556809,0.04839464826764046,-0.018397793439543505
CD34,0.06509484247100715,0.010789798935071114,-0.008571276394572678,-0.003590633493569449,0.0525883960857207,0.050043410480872526
PLAT,0.035640912409807456,0.025262603776443612,-0.04148099340799363,0.07694603141848726,0.0836986344928168,0.07257691210223326
NTF3,,0.027133923122947327,,0.09231888862888042,,
LTA,,,,,0.02644337126869195,
CKLF,0.0469885181921682,0.03275820220712152,0.013232356788204863,0.08666927090244925,0.06704624830683849,-0.036780249457315145
APELA,,0.06911087569329447,,,,
