,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,-0.019296714180305454,,-0.0001753759834047497,
BMP1,0.04768246806657732,-0.05564031318679721,-1.1615325864164523e-05,-0.0005737365005919086,0.020648091890742924,0.021613889510441617,0.07794637679471494,0.028065604772902694,0.0844607582630112,0.11311498486081732,0.05657294736419254,0.015229227105479528,-0.016832827787025908,0.04270312883209852,-0.007644391217004481,0.07457079119715919,-0.016419562754600752
NDP,0.016060243444526306,0.010193960600100057,-0.04578912331043303,0.09618443462210091,0.014211875991588492,-0.010012162367794735,0.02457131535461666,-0.007368470574653229,0.04439439178968497,0.09954055961853919,0.07454291542094563,0.0559402278119162,0.02847140256660517,-0.006190649270216448,0.012035690979709203,0.04083157456985059,-0.003670231412617025
TNFSF18,0.08988873072196474,0.0035528621097197202,,,-0.01017685462938687,,,,-0.024885284588861724,,0.11875964964897429,,,-0.019900360727141575,,0.023790947173371005,-0.032296659979361195
IL36G,,,,,,,,-0.014899819466452524,,,,,,,,,
RTN4,0.013205024133924352,0.0011435370055123011,-0.01234113873949108,0.01286159160768179,-0.01687290542540498,0.019349914558053606,-0.01814814829635579,-0.03535318049068182,-0.02983906712216806,0.09459462903557081,0.06369247611088256,-0.04016626010520306,-0.05578400229295343,-0.047227046499543984,0.032635517903126174,0.03629777943623503,-0.019118989505973755
HEBP1,0.037197511349045594,-0.040802545785911554,-0.03558631908408256,0.04715961492478858,-0.009916986096744707,0.03177009519493406,-0.042484815967520795,0.012824513274029411,-0.05199112784534858,0.1601765088002229,-0.027210247152020715,-0.021476824301753794,-0.05393765985523861,0.04085335015449548,0.016951050838406312,0.0008627728935659473,-0.007647467286673049
WNT7B,0.0036640698757877802,0.03960021608397656,0.054636535434948744,-0.06500195901987454,-0.02917100645551432,-0.01187875339972514,0.03311739056405004,0.06589124679704635,-0.027396269393934896,-0.06967530794224097,,-0.03046732685717634,-0.030376914198188706,-0.0282459401021992,0.023769885960377688,0.013805004822183437,0.044185980332478336
PTMA,-0.03137543775402715,-0.006168538802050595,0.020366144928334527,-0.06289590482620538,-0.02922435128131293,-0.022105351273558015,0.05473179360930277,0.016104035294760385,0.061421926079120066,0.01933034659294687,0.024895040415110273,-0.069032264577533,0.0058401909172724215,0.040610270823827226,-0.04418916711128018,-0.036916453982564226,-0.026274483956948102
FASLG,,,,,,,,,,,,,,,,0.05081281328217074,
CEACAM1,0.07152264795403337,-0.01637743595723036,0.0463016797940485,0.10418549891261591,-0.016005767858858957,,,,,-0.05246725411726391,-0.004021814349968649,-0.02732358673129966,-0.014716200693901064,0.02497770715047774,-0.01923877600291045,-0.043185272270478824,
PDAP1,-0.05277275231542971,-0.03313582409747784,-0.034573569118887544,0.0029159989493959706,0.06249388677090057,0.021207795879440203,0.019099597983312604,0.024435804523929423,-0.0027018397434499285,0.00987204100407635,0.04852096813684904,0.018567235583503604,0.013328431962737801,-0.047264576475508156,-0.0024148174771690166,0.04579132174745419,0.058280641024406034
QDPR,-0.03155376528199504,0.00943374551231058,0.019526919945041448,-0.0026230503970498874,-0.050889830983394814,-0.0025617120662109333,0.08150301411058519,0.06336364466169475,0.08391638084877252,0.04750806166917468,0.05159329120412203,-0.012603581308876217,-0.00010108114682912194,0.012569441199119279,-0.04072151256541952,0.013879456375335652,-0.013017315218246896
POMC,-0.03745708447841085,0.019127117813905577,0.024604236641477147,-0.04169233044590997,0.011219910594080913,-0.014028384271838272,-0.03091009305045082,-0.03192302290512751,0.06470631471254516,0.04446306897035566,-0.022690487167951908,0.04225182307542887,-0.03447480405345644,-0.0061288688238284265,0.06565679434278571,0.05856744029731521,-0.030139413369605312
CCL18,0.05131604905780195,,,,,,0.0948674526863687,,,0.007998116298903603,,-0.019372872235351474,-0.035935987593181055,,-0.053449367685418026,,
CCL17,,,0.052707429642328496,,-0.012692519095581847,-0.014702566762175498,,0.03473506070535564,,,,,-0.021243759576394797,-0.025441602971669558,,0.04460529893554665,
VEGFD,-0.019721820343359356,-0.023457391214137785,0.021757257945811313,-0.0018491245743335145,0.006401763094651496,-0.010784510524452158,0.0701872222900212,0.12345039927536801,,0.04794058637610514,-0.04572196665226597,,-0.014716200693901064,-0.0071475254601048865,,,
TNFSF13,-0.014882718500601492,,-0.018012062704000128,,,,,,,,,,-0.02309124035850858,-0.027282828999886957,-0.021603856019725583,0.05656419716093476,-0.03513415927210044
WNT5A,0.02428882159064075,0.06908633747637032,0.004424903652177525,0.023269197558025357,-0.005557992475441968,0.02426896537437669,0.06667969090860215,0.003612765960415211,-0.08028747934081078,-0.020133726700658255,0.057180159106481804,0.08425297237987,-0.005614664771021337,-0.011222850510964614,0.008437565384120852,-0.019167901723965076,0.011713553607755231
CXCL8,0.058877123986323866,-0.02196411076900013,0.04153570616244682,0.05252943662325422,0.011437050833894676,-0.01004300512647703,-0.026290082843687272,-0.02748674565796456,,-0.15290567425842097,-0.007017365857208047,-0.03410899169797784,-0.017352456189153865,0.040247527082602486,-0.007939985782200896,-0.02871359677054957,0.09254516989626355
GRN,-0.04384496041077119,-0.0038922603884879083,0.06383723780249222,0.015393033987052683,0.011930315493085323,-0.0037252048920304497,-0.02372989365594678,0.006116503736759846,0.03475743033315729,0.07310278175916696,-0.007465182381102174,-0.0008353416551500864,-0.019523763543331685,-0.0073347217324888974,0.03980649012334378,0.060342700864162394,-0.0629031104194115
MIA,0.012976542339991584,0.01046037018105809,0.038041603303536994,0.16646585808992423,0.04760088857437025,-0.01226510952479561,-0.016199274876421903,0.04850945479695766,0.04062518770583702,0.006242997192141862,-0.032631454466138875,0.05825834134390036,0.021341240703788577,-0.026579721729639055,0.02418739047498101,0.07066408769788676,-0.0046096440101920854
COL4A4,-0.023685738475867763,-0.016295173972263637,-0.024169177344221963,-0.0051499124554916596,-0.013251382625466223,0.04813581158672325,,-0.001503852362561611,,,-0.03580120034771669,0.03277411447221408,-0.02356293832007479,-0.039190732805221694,-0.03877278318230155,0.0340117712414257,0.02546006997824496
TAC1,-0.01735383041445539,0.02705430734174393,0.005880325033394839,-0.00429308429593061,-0.03711984253571632,0.017571441451323708,,0.030015137663378273,,,,,,,-0.03319236939547846,0.0441787553970724,0.03791028507072124
RARRES2,0.015851413868822155,-0.008623715298571824,-0.008326962866202563,0.015594707259896645,-0.02256678537533242,0.007610245902838927,-0.04356130693949119,0.041374215661888994,-0.01722163314179492,0.035688174631522816,-0.06313638661698237,0.0005973549655455459,-0.047982086767046024,0.02941421650201602,-0.011162287597994093,0.12433080168018742,0.1569616789171461
FGF7,,0.023935141673397758,-0.013063801648390664,0.003994068228402379,-0.03020822094279506,0.06367950256667872,-0.008619958538260176,0.03102712073541851,0.04276425922918156,0.00400443168184433,0.06339459325354925,0.015774697208171394,-0.003554358647729073,-0.020663870401627687,0.060527887508997645,0.08082718567972945,-0.03230058760916987
EFNA2,,,,,,,,,,,,,-0.013986763906118166,,,,
HBEGF,0.010240288300681338,-0.05236574547971722,0.03312918182992072,-0.06280479978814056,0.05999623924906246,-0.017521168381637926,0.03531411741229374,-0.006911504790064677,0.059728293677078936,-0.007331126676877489,-0.014257700514259805,0.029704478493482973,-0.04898839523473353,0.09391265811190826,0.06922710683919207,0.07667512640711054,-0.04059835800778287
CSF3,,,-0.002983226669222355,0.07219622530614131,,,-0.02325199875967706,,,,,,-0.06609676196366868,,-0.027581413391307423,0.003461291134123832,0.0484839483911967
PI3,0.04634347104425714,,0.059192483402638794,0.056165640527484316,,,,,,0.0252017354888217,,,-0.01966404249699916,0.07488941033814639,-0.03834522265103376,-0.0361688426868252,0.16971810483248342
PCSK1N,-0.04166909495668836,-0.008681831958763524,-0.031043123772843427,-0.03345738597329229,0.06659125840084126,0.020735720990923513,0.14448969687031255,0.020577026790782306,-0.04530648292530247,0.12605797729480386,-0.11218202721423073,-0.02556322284516899,0.0021516577319302876,-0.04107214051887792,-0.009201170568510641,0.057416106571113505,-0.0634207352349457
NTS,,,,-0.020310485515657534,-0.015138164275047076,0.012323418585311276,,,,,,,-0.017040217643397887,,0.05126071488963086,-0.0016128323078261624,
SFRP1,0.022783880789568178,-0.0020991628978502905,0.028455626748336463,-0.022614778861472798,0.049566241752282136,0.06209786276934473,0.03369569708744412,0.051237365693058985,0.06846235864298292,0.045490319593252525,0.04008239939100061,0.04692223502794394,-0.01094236090494041,0.04342435986294754,0.04795343478633851,0.05970453708718185,-0.011004678396058313
CXCL13,,-0.005529404154286587,,0.011075557171174744,,,-0.022299732951187156,,,,,,-0.013209256227143688,,0.03631558228309502,,-0.03350410591300103
MICA,0.019236494623245594,0.04198584910826355,0.01806762756517028,0.026144574303676955,0.0047740570053990536,-0.008015504964360298,-0.010527352137111716,0.07503947147122028,0.05621095696137622,0.033128415129359975,0.109377599304782,0.0032599908047127304,0.024115685373948672,-0.022000772346529585,0.10056602170356353,0.12820675952185165,0.07407245349134377
TG,0.017944368043444167,0.022221204076543315,-0.0005891957862595161,-0.04796507812013717,-0.01278723265953686,-0.01064018371810934,-0.009484254399516572,-0.02044625555836243,0.09125513015690348,0.011158907939078202,0.02209395136290473,-0.03154356533515008,-0.02098689080353703,,-0.02269992705306399,0.01121144264703549,0.004461891889455473
ADA,0.02911841156334553,0.051997738424420695,0.025580649789103897,-0.04270945515384405,-0.0032164448697980133,-0.01728051404235371,0.07806209665511672,-0.0171218657618267,0.016745315500755364,0.1666417648094601,-0.010595376888299046,-0.002541775440667399,0.014777816474621498,-0.028677718421208188,-0.019715582708203106,0.057234367631899985,0.001126949748670968
LAMC3,0.010359309886307063,-0.0396020453664321,0.05947540531265037,-0.010662864681534533,-0.009190764500096656,-0.03370574328444483,0.08909247832897473,0.007198268690799947,0.06330049538187012,0.1564909663351224,0.04916548862728056,0.05091197313502918,0.04594697315435519,-0.05446046060830572,0.014076173823289784,0.009523385899306283,-0.05485398500594733
CCL7,0.09480374383138931,,0.030924032554035603,-0.004328849659465459,,,,,,,,,,,,-0.0371910297958179,0.1706371860414869
NGF,-0.021538695293699277,,-0.004768780759330782,0.028591433706464192,,,0.017894610082175827,,,,0.09366155105578837,0.06680893382681945,-0.013798758268091398,,-0.007727420475700805,0.08074073458941478,0.04750602869089803
TNFSF15,,,0.05601043431394411,-0.021999816902873757,,,-0.026522011005542988,,-0.029396032030998453,,-0.014688096684989141,-0.02907477027084256,,,0.15615446954636233,0.012220280300548258,0.05144166402789194
HMGB1,-0.02940057337179946,-0.06355930846331802,0.005668974240106137,-0.035243965214996065,-0.009225657909018902,-0.025121853332523755,0.03046203285126392,0.01879241923122419,-0.016714675629546448,0.10032177775230867,0.0017971876691193953,-0.08095823076815299,0.014699436683906013,0.020816724107384936,0.014224022493510697,-0.0424414580510528,0.01068447246369216
ITGB3BP,-0.001952794382201934,-0.05211358372327947,0.029422897021464015,0.03765781868181881,-0.010051662220515123,0.03134950282531752,0.07278568442636023,0.04170758832836891,-0.06522127731052547,0.008959025536429938,0.048915808857448395,0.007539164860651748,-0.03487574323150895,0.06641441930422262,0.024313273202922727,0.0698334059152336,-0.024585911800307992
AANAT,-0.01820050891560591,,-0.001797585060318552,-0.01982315074515815,0.012584394107580443,-0.012265110207012316,,0.07318980981691162,,-0.06126737374228856,,-0.020177658507895546,-0.01882239596369363,-0.03147044665646337,,0.04230060033176776,-0.004777124630219036
RELN,-0.039292659949072835,0.06146077698620314,-0.03126491047885596,0.020012697354944188,-0.025318479903249216,-0.006600702579097069,,-0.020213626967129555,,,0.14248239355672082,,,0.012713915292701104,0.015238513352336754,,0.00016046676846939793
IL15,0.034475812705908514,-0.028371655985104455,0.02314650225773392,-0.01934557906348022,-0.03261795520252694,-0.01544696901697176,-0.025713956958200505,0.06223636015362728,0.015535760903529398,0.013092109250796189,0.026048069070596827,-0.034109080844854936,-0.034124828813229216,0.0014244299612805645,0.0037373882808878784,0.07959024679688806,0.00626176704044088
UTS2,,,,,,,,,-0.0543277459055996,0.15752253585751547,,,,,,,
BSG,-0.02643170467580306,-0.017783852064854083,-0.021525730286147935,0.014721257902858347,0.02387136095556648,-0.008738298267319148,-0.06300485431793643,0.04571538802358512,0.039476154026775734,-0.04090265566855755,0.03408533672461438,-0.05269100279351469,-0.02496132761938229,0.004411033861380944,0.05300532990658028,0.10376077403519948,-0.021156243370085658
ADAMTS3,0.003619467862468311,0.013638458795435236,-0.003277920294338347,0.011491472939042582,-0.024385476475557017,0.04023878799304714,-0.02968454825196726,0.054432114127524335,0.07289661765539289,0.02617259119441176,,-0.024160691892419595,0.006907427122222947,-0.0048856659640241365,-0.022402678518140373,0.06407448630898355,0.018178981905161023
CD34,-0.035620433271508434,0.05271429037626549,0.014911425307905438,-0.01889071054238534,-0.030656620918681116,0.027571470810847123,0.02566658163842059,-0.02194712286245369,0.07525443766547184,0.05281317747362186,0.028875972871929317,-0.03565184533795463,0.027706959603068005,0.0007201452486865703,0.046396006685694546,0.02545436471659282,0.029135525322382422
CCL23,,,,,,,,,-0.027738375493272377,,,,,,,,
PLAT,-0.007880510433669876,0.01531495407323585,-0.03754523190358605,-0.02451672082842351,0.0617739500503142,0.061140508343289074,-0.023236954752734733,0.01993770640904681,0.11010754438621387,0.07821642231943324,0.0786325794650946,0.006247275128819876,-0.021622348724249747,-0.07967232924181339,-0.04211621362145044,0.0682876289988899,-0.03629139761208515
NTF3,,,,,,-0.019798813771629037,-0.042055588570251864,,,,,,0.013069354920047209,,0.03803111565874428,,
LTA,,-0.01637743763784864,0.06832083276923924,,0.08660954163581777,,,-0.016933826060580987,,,,,,,,-0.0011767606303339099,
CKLF,-0.044504579630999845,-0.028596772768540973,0.03303411867917476,-0.04893867820680945,0.008296508563352345,-0.0527127107138098,0.0376346388894607,-0.022514360219743207,0.027145356320292916,0.023966116380620864,-0.03981954503629547,0.1494996523905466,0.0002957538653044105,-0.004589279163114561,-0.012313933144085867,-0.012073366209194185,-0.01078037421560877
APELA,,,,,,,-0.03208389486791083,,,,,,,,,,
CD24,0.05563143610113852,0.022593890653491315,-0.05081586377071449,-0.031642232656263196,-0.0024689564664785208,-0.06120436462411224,0.05417684680875555,-0.02589200041369951,0.012517032551510583,-0.02040860440305253,-0.00501175193926373,-0.010163431473760885,0.023729286226051576,-0.04644695417432468,-0.014525227462193438,0.05645623889436979,0.0883656184185498
HSP90AA1,-0.01961481945956239,-0.00965168668989977,0.01403986698628895,0.03381026582215323,-0.0035994795477478714,-0.011444225173652048,-0.06425100054336091,0.00035559585083601004,-0.04845247859726508,-0.06423224897156878,0.06383120223284532,-0.06692020758128521,-0.015281577478084464,0.034743349875905695,0.01659141943502097,-0.07059519323242497,0.018295663815649718
BMP4,0.008041509939602034,-0.017361043941607125,0.05133935480130334,-0.028964549449593355,0.00865700908075341,-0.0382432773153442,0.03689092456627013,-0.014429368804110682,-0.006001046929318995,-0.0463046559956021,-0.03739209692726804,0.042365743714865726,-0.024174719324219336,-0.05566004351914129,0.031679609727401095,0.009707138470600207,0.0829744058052181
