,MGH258,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8812bulk,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.017700309194615817,,,,,,,0.086587111922321,,
BMP1,0.0031454990096109556,-0.011821510429218331,-0.03312686799380102,-0.08664147864653407,-0.0076123907874551125,0.010640609161109777,-0.017216339673701814,0.019284987278070573,-0.02788906962835731,-0.020800818945161163,0.03295146314912353,0.008809000536961938,-0.0002602841798488947,-0.042134727089515905,0.08920759533234796
NDP,0.022405688391324334,-0.014316064322267544,-0.016103419107133317,0.06581781385601725,0.0031743624242416718,0.04341723234479692,-0.025514379149780768,0.0721856246594803,0.08692149870486013,0.0553580794279671,-0.007670766695516078,0.018244980285465957,-0.03241215431834657,-0.030551692365409742,0.035060418469905916
TNFSF18,0.018691400792004726,0.016831067987068425,-0.03178196560589285,,0.003887244413639021,0.0616524288913791,-0.016298667535403814,,,,-0.036445427244884566,,-0.0017330199886430502,-0.007490046054795984,
IL36G,,,,,,,,,,-0.019986681684064762,,,,,
RTN4,-0.01698941478319341,0.02831134495617387,0.04337376296773101,-0.030472340171900536,0.06680146793521141,-0.06779200419234506,-0.02315267997762261,-0.062333547887201135,0.04572878260426215,0.024947281314136545,0.03565972749501676,-0.0028203252939194177,0.016676462296479257,0.015392126836365653,-0.0029133937723285802
HEBP1,-0.020796463442253266,0.0020432240400156646,0.06237257754680159,0.0021289929929192005,0.03939990923209132,0.07375054447611196,-0.027699704319998037,0.02498884597608216,-0.028608959225694203,0.043347467903163815,-0.03033718368698813,-0.01504442921991747,-0.0636118434713739,0.011524496371577054,0.0045659863780303685
WNT7B,-0.025605741558568085,-0.027919354872829483,0.027303603747719764,-0.014301437168944593,0.007859940559165817,-0.016854343885294346,0.030153020885169645,0.08271255209237159,,0.041183953192094926,-0.04012285812575402,0.02158858239388677,-0.03174311056644758,-0.015041007458017334,-0.0144980035345471
PTMA,0.03700764802395857,-0.056534285780420974,-0.017567720524586296,-0.0003310988953770714,-0.05116459180942479,-0.010205445447891686,-0.021939622751135184,-0.0016442647278136777,0.03679840210772765,0.04570418758273234,0.10469574445201663,-0.09968563428290138,0.003087862032742782,-0.04206243736897767,-0.061708425087913854
FASLG,-0.007264099534936644,,,,,,,,,,,,,,
CEACAM1,0.08350351663056345,0.049839209066732094,-0.018936975653461963,-0.02920992955742939,,0.012170379229917943,-0.02563392113581868,,,,,-0.0029397781952928874,-0.02695852381608277,,
PDAP1,0.03650811795700568,-0.02340488157182601,0.019360557572044128,-0.051195349505565056,0.053225039738494226,0.06559554870773189,0.02304878706161131,-0.021587629741943032,0.06389133435359325,0.04691913319936642,0.010388697950843281,-0.08300249877610083,0.007568832221497267,-0.07211822799796147,-0.06400061542985871
QDPR,-0.03383945860599659,0.03519841780639185,-0.012346501647974812,-0.03362649203852736,0.042464732840182366,-0.054002008368405685,0.03637332473543946,-0.057814691982425066,0.07007069478519153,-0.01308238080044933,0.04247942088977446,-0.057197307691273264,0.03276052394437264,0.04250492895722046,0.013725325039458135
POMC,-0.0026356392849693874,-0.03025646686631295,-0.033647984481915943,0.005287503132850222,0.06786739979449447,0.03793346082306724,-0.018911684939814065,-0.02227968759683323,-0.011899221409657016,0.02947249870324686,0.025788172722378606,0.0500709754751998,0.03748076974137588,-0.005913622170034837,-0.02275508794399226
CCL18,,-0.024574381765702147,,,,,,,0.012821694386571563,,,-0.0004256714653528582,,,
CCL17,,,,,,,0.0070122448159719636,-0.0020220681582409326,,-0.01825840114009378,,,-0.018108522177973468,,
VEGFD,,-0.024574389569219347,-0.027123418310162756,-0.018092434385638633,,0.04930468692957907,-0.021657350901066248,0.012255953055596845,-0.0032853042365182912,0.016047842958641013,,-0.030630308293630736,0.03245373607967039,,
TNFSF13,,-0.018544622956468484,,,0.0040416986988915625,,,,,,,,-0.0018368331487082312,0.07954387685493022,
WNT5A,0.04264229273813564,-0.0007502395132868872,-0.05231173486020505,0.06731310326221734,-0.03272640126081464,0.048511350665517955,-0.041754157581706586,0.008401797337273361,-0.03201466291100436,0.008915823390400174,0.05045312748975885,-0.04453259502129269,0.0538295998516892,-0.016020897143839894,0.12044096863581151
CXCL8,,-0.044247943757434745,-0.025396761249362083,-0.07508423493537711,0.02960616996125418,-0.04439365095855013,-0.008173553449488556,0.01791862742132098,-0.04401419701589054,0.017956819246970585,,0.0020822864016145923,0.08623256372400603,0.02409564341867107,0.021085089842838255
GRN,-0.009624004554033854,-0.03873774219640116,0.019769317796941997,0.049733957380057196,0.0144773207914614,0.09078217263143196,-0.002643412837948384,-0.023552228534272752,0.01986337150683657,0.037499994763367794,-0.011857856134991568,0.08709424690092683,0.014230490532620545,0.06915919898687375,-0.03433250824599058
MIA,0.11904991352240704,-0.04896066254468387,-0.010795234225681462,0.040398058138536495,-0.020403550467008355,0.07140253140135086,-0.01742493837187187,0.08765383727443439,,0.08670333170532123,-0.04050845909223836,0.007437460131573834,0.028900186397988185,0.0034238719528824854,
COL4A4,-0.01399764267863296,0.01902549387325101,-0.023583648827183872,0.005982923473799255,-0.023756637107689726,0.07105903920285601,-0.021222655492516625,-0.0018459310239913322,,-5.766499269813676e-05,,,-0.05808289622573728,0.04693592715857214,
TAC1,0.13882086736520893,0.061040326797330235,0.06420209657621034,-0.005921024407460174,0.08439303410615014,-0.04222012810879359,0.019679501262161277,0.010818574087067224,-0.03260384023984732,-0.02904779182483437,,,,0.03532280357791984,0.13484613568964385
