,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.026204665657355353,0.042273065646623774,-0.0022485616595194187,-0.02192542595682206,0.04860239492911551,-0.051642533773125485,0.19660020299162365,0.003640938163937401,-0.004342856461740061,0.04825528060194482,-0.09473045754441875,0.06460302304502993,-0.043774549486935585,0.06390088497706034,-0.012554698744626919,-0.03458832177638754,-0.006988190284778578,0.03563797617911325,-0.02658779744133414
RARRES2,0.18372751506563154,0.07540697547367534,0.040658178725531735,0.14533899607846545,-0.00790896606032701,0.17878030525148228,0.2918831293922629,-0.007154603156986972,0.001937600492255209,0.04665883584609763,0.09597495639263913,0.10233894559098676,-0.06003695040280705,0.025068593974602798,-0.01006373527382939,0.00597711645935331,-0.0014258124065293072,0.04721180686274172,0.010793443526716266
SEMA4A,0.027595407353399867,-0.009417690734245828,0.006584516430274209,0.04675227145768618,0.01600989745054446,-0.10207385791008022,-0.110797800111774,0.06255804768062405,0.07211803616337627,0.0032902658998656994,0.009810440349493892,0.015773351014201215,-0.047523967842632325,0.07781807995623612,0.04185462284974653,-0.02950390304024719,0.003977667362040314,0.03362624289228187,-0.039389845283637634
GDF11,-0.048660524855180486,0.032748187763196594,0.009128662880069093,-0.01498730602150572,0.041963340118257086,0.13555838259981437,0.15884070488641877,0.0061657588174630846,0.03319562503115522,0.03838727542005282,0.10366809428574346,0.018120005386345013,0.0929651773162667,-0.05188664737256544,0.02982937459948565,-0.028177519215307367,-0.006952657632485641,0.05083637956974414,-0.0046932651096530005
GPC3,0.06292936020007962,0.08654543574582944,0.056172642649771114,-0.028142844800194914,0.045560976462354914,0.22283200975536804,0.0446512104392865,-0.04079757433470492,-0.018566708463437616,,-0.046089248525104126,,-0.030603764089436793,0.014294629750197168,0.07080518098660486,-0.027251296071176632,-0.041948585315974014,0.09358752316013619,0.00711866740047686
OSTN,,,,-0.03643532181917461,-0.027938336617956323,,-0.05557875811392756,-0.03898148202354315,,,,,,,,-0.02333601988518528,,,0.06152136464558923
GRN,-0.0953843174662552,-0.041440580569725216,0.012879245387359068,-0.006896416908955647,0.008671316072745084,0.12904112853789498,0.23580393947557124,0.03124467992463236,0.0006257267306878071,0.028113204138765554,-0.07057343740358472,0.034223157840422395,0.08471367915595125,0.01293347336573164,-0.011076213058279485,-0.0003187921654094109,-0.001919994075545473,0.012616049488604685,-0.006163913260957047
CALM1,0.09848056168743557,0.05092897825740998,-0.06349098173514144,0.012536021564377525,0.08069049958318662,-0.2005443149556311,-0.275630273006336,0.008107302792945517,0.014211301516342858,0.025378895544849768,0.022094282278717688,0.016956636708847984,-0.0710398384392035,0.012044898918454014,-0.002175933771778571,0.06399375693111031,0.014008681038166765,0.08165010340347888,-0.04729432154792177
ANGPTL4,-0.04097318353901271,-0.0927162814738922,-0.0002716252860342381,0.026658097859594675,-0.027408288729851016,0.029966653972130188,-0.04322545560587329,0.01122590076143244,-0.02454438276427823,-0.009304936507118736,-0.006541679234942789,-0.08996020002586871,-0.12680682934283385,-0.040756855819231344,-0.10525156099088825,-0.08588762161298567,0.012395096266562704,0.00495079032365106,0.02969934708837097
BMP8B,0.013544871800741397,0.06036819087992379,0.008396896336665743,-0.02779382622816184,0.0553413763686953,0.15847962213604325,-0.01132645742632544,-0.021024622001025936,-0.057628348144082686,-0.007996373458479217,0.017524168604411694,-0.019594782083586722,-0.009698962428255601,0.008534917961739434,-0.023224498029982995,0.07306196238686292,-0.001307522831197308,0.0494861201927125,-0.03112817474584311
