,MGH258,UKF248,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.020303953709048507,,,,,,,,,,-0.016190500893370822,,
BMP1,0.06646774407289892,0.045658620403238516,0.027616610063016217,-0.034621471212299706,-0.04733048193996411,-0.10444561315823092,-0.04830214827275012,-0.02094854965933114,-0.09108325931544572,-0.14543431743909824,-0.0177954356914421,0.018677761315163945,-0.009247298323556717,0.033453635536895454,0.0297276094381347,0.08329941196212144,-0.01189851622405056,0.10515118295305366
NDP,0.04374445474621652,0.007291438890557128,0.07790990389980783,0.06361836855322464,-0.005995347838120739,-0.07769990094697585,0.05683736013724176,-0.034562793577090224,-0.03810919851513406,-0.007758873677610775,0.09389685748225413,-0.010286594720973881,0.00012509364126123989,-0.0019025011446373002,-0.04672786829549722,-0.01864412526265105,0.009777145391178122,-0.08182107177294189
TNFSF18,0.11672676208757445,0.042933802414845665,,,0.010529249896721425,-0.004366331069440725,-0.01951002216325075,,,,,,,,-0.007156477190705262,-0.027310480442677202,0.02303920864732799,
IL36G,,,,,,,,,,-0.024685015165574524,,,,,,,,
RTN4,-0.042107305676514925,0.050656552775081486,0.053150234843023364,0.1311052555314054,0.129597479280957,0.16479038352218986,0.11868073660957733,0.07046870011512595,0.26704859159477135,0.18516335162541647,-0.21612866398937652,0.029613437763181774,-0.052215437267485565,-0.06771375562457496,0.12717499310355754,0.029986849359927004,0.04342456263104256,0.053899723479792196
HEBP1,0.023858664637548207,-0.002653302528658155,0.03569252783210304,0.011404595966688462,-0.04999482779666897,-0.09833236670952933,-0.026826253411576333,0.05446491846910555,-0.07104780733875501,-0.048974252004867054,0.047599396847590604,0.059280553360621,0.002936142033370941,-0.03270747586925177,-0.045872661928492854,-0.011775734758493587,-0.011697214925625308,-0.06669203139201285
WNT7B,0.04719081098371676,0.0006453633930918471,0.015398867184429114,0.01929474575914828,-0.008318531667787423,0.07445082717223979,0.0456064852631596,0.05868693364522811,,0.03800141417512554,-0.012777952675229807,0.019007757410268902,-0.00757745092099978,0.002541808255128399,0.02079251956390884,0.0011462092445044259,-0.07567841576885073,-0.002146006146106021
PTMA,-0.03059129286930823,0.014296505050538616,-0.005921265376877902,-0.10897554576995433,-0.15852560796242735,0.021354707900013446,0.04880007072332168,-0.06560467042405309,-0.3280815674017977,-0.16298487352825827,-0.02999539039817409,0.011966355793027203,-0.01236826389721911,-0.010340644136097133,-0.1733453258867287,0.014013777270400773,0.03132011010622597,-0.10769278145688264
FASLG,-0.008309538786466253,,,,,,,,,,,,,,,-0.01404201590135132,,
CEACAM1,-0.008987688913017681,0.050933630328252405,,0.09793051025598526,,-0.039676685159987846,-0.02146043290878587,,,,-0.04247573413935932,-0.024272234617178926,-0.016268859721403572,0.0038399966759788714,,-0.019537402729996222,,
PDAP1,0.03711090677987287,0.02172481246717257,-0.05788609631366088,-0.03480079923907932,-0.024748890468749795,-0.11499957664130786,0.0009069767158429525,0.026162585848912484,0.04911774340356551,-0.13957263899446906,0.03939806124299469,0.04027209425929628,-0.05837446544409699,0.029134765769080376,-0.07873813531765937,-0.01681194650517852,-0.0428886946564312,-0.0622645000276186
QDPR,-0.05762275000680083,0.03164709768440886,0.036221690047349764,0.11158146176820194,0.09319346605596075,0.04449448867696774,0.049823672862851325,0.07129284483218254,-0.24464060001398602,0.0693688053535503,0.02724295206629208,-0.041073124587200555,0.015278946446882304,-0.03195083836544967,-0.12562642489504564,0.017694393995414275,0.06940752137148265,0.03793431098236943
POMC,0.004606238643888049,0.06415964394965186,,0.06961048580761589,0.058808662605848355,0.024656888321934585,0.05270440255444654,0.011487899605185523,-0.044345004353174365,0.09206181941857079,0.13226826767729538,-0.040210175481458325,-0.026475773041916614,0.04766589926696019,,0.022152160943083633,0.07818606385489377,0.0835642205804171
CCL18,,-0.03352480665721189,,,,,,,-0.053693740667662984,,-0.03642072139858664,0.0924458969494811,-0.017433599589018637,-0.02228399622917444,,,,
CCL17,,,,,,,-0.012501757026883964,0.024508926040386285,,0.007996813088426459,,-0.017219975651709924,-0.023485120357649443,,,-0.012727510220700039,,
VEGFD,,0.04994955552841639,,0.015209809548812037,,-0.03401456887163659,0.018615612675866488,-0.010024558970671003,0.06138189205653761,-0.00971395817515957,0.11600766505685528,,0.008661136268618365,,,,,
TNFSF13,,0.03090770523918108,,,0.0134106984164398,,,,,,,-0.005332153908616154,0.05560416693088934,-0.01996492973554857,,-0.0207384155825169,-0.0014950707718586473,
WNT5A,0.04018244982321167,0.03528258077416445,0.07867768496524848,-0.07531007072158553,-0.044946847182097405,-0.05602723760980048,-0.016603613530446027,-0.028570548470811117,0.05866663143878358,-0.06710697891794727,0.02785242865892703,0.02225967772316976,0.03539220644149034,-0.009056025698114426,-0.05673695549166179,0.01870786069940246,0.03807703263952823,0.02477296624587695
CXCL8,,-0.06936571937928283,0.016784452610195982,-0.041366751863737554,-0.0049061030374787234,-0.039448679085117525,-0.02502486045380112,-0.021552527490295733,-0.06763996016198631,-0.029481455901872268,0.024644435773759677,0.04843791396888797,-0.028115099320362737,-0.016803754955793528,-0.023067219814426533,-0.02239663104831028,-0.0698221988806239,0.11170738880392062
GRN,-0.02105057332130146,-0.031304719071572944,0.036358771432799274,-0.05456002793614441,-0.07217479260470173,-0.11268035558462727,-0.027354052044544497,0.02071039773999118,-0.15300517923365767,-0.016108224532214378,0.030349030673311152,0.005098902729711717,-0.016421366738141534,0.04288494754325061,0.10213615220476598,0.03616252808929691,0.04348439340337517,0.001443077272588579
MIA,0.1948496896233546,-0.03135702764672478,0.13568369112911893,0.011251533910583842,-0.024001215069501376,-0.050407484442347286,-0.04782643265021944,-0.015405520577227487,,-0.022547057616091593,0.030459480549168506,0.004099846470086633,0.08589810187585187,0.03613771225029105,,0.08618794311769158,0.08409409580583875,
COL4A4,0.0021614382708845703,0.0017964332243141886,0.07787376587016297,-0.09693014469472688,0.016133968308430953,-0.020008039315909824,0.018191732728531192,0.021729760172013148,,0.019756031654489376,,0.09962352724006658,-0.010435357289291838,0.008790656769375795,,0.05396598775365024,0.011522010533030308,
TAC1,0.0669745281533522,0.05551118665715784,0.037226125742070404,0.14639154138287197,0.12040986507595978,0.14855794576283385,0.08313759776647749,0.04266830576353013,0.17163586548273727,0.13374631942158785,,,,-0.005659865913768505,0.16515126584966336,0.08246042230318054,-0.017328150215740683,0.10447190288078545
RARRES2,0.0923901492985126,0.053059954245883126,0.008003110038551428,-0.12535229485358007,-0.018761596284692112,-0.13993199436133744,0.07087478260531677,-0.02140691400276964,-0.06584767573827412,-0.06307347797119427,0.016279168418584056,0.07166886821768861,0.020519145068590084,-0.07756528998906866,-0.005831356904522176,-0.04480148233805384,-0.13291906470071307,0.009199143337004398
FGF7,0.08124027198684351,,-0.01011787289187451,0.11072282734877358,0.048931221340148635,-0.04949562833129898,0.002559733095203981,0.014299445190006813,0.007934609285976918,-0.007816170582273444,0.03000897669752361,0.008981428728706614,0.025716718012111946,-0.04244191234999354,-0.05296814567973244,-0.03853062421276303,0.03846317844305156,0.01791914072186059
