,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.017700314117182238,,,,,,,,,,0.09427874214990539,,0.04624191542624945,,
BMP1,-0.004586237886883533,0.029581515667996428,-0.055654229050940626,-0.02515263426403684,0.021494205960752816,-0.03485774117277159,0.04069813944434136,0.055875238015346614,0.048909938740831584,-0.033831851945499085,-0.00010893532610008088,-0.022123362203815364,0.0828940307087576,0.01956199905700627,0.039228478872061524,0.027312004872045107,0.015793967008134457,-0.038372390342422735,0.014675750786061354,0.02739620272526987,0.02661480137267253,0.06455091290769996,-0.0018985827272080759
NDP,0.0024162580020118765,0.05999485454497619,-0.023200379106425775,-0.003331312492473187,-0.002507400015381178,-0.05463390918611272,0.02548037917550509,0.02335067921360857,0.01678217073699761,-0.01686781963963381,0.022406564941430826,0.004969126470759833,0.04787454183891814,-0.0037701818488476966,0.04534620945140702,0.03426303997265278,0.11639921907225234,0.05425909772907482,-0.0038277569029488197,-0.029364134508224952,0.05360440886969396,-0.035655166621481695,0.027438817376714865
TNFSF18,-0.018128372374087258,0.09084989409991115,-0.01989191583192478,-0.027774163119056717,,,,-0.02207219787980313,0.0028928997068363867,-0.017201224906046118,,,,-0.02634637836937611,-0.007268234717381037,,,,0.0006893692516609033,,0.013307159925565347,0.02732252650993931,
IL36G,,,,,,,,,,,,,-0.021359696084746884,,,,,,,,,,
RTN4,0.006018325752095955,-0.055435474945829864,-0.015740121369378832,-0.009163201655786886,-0.05251168894421315,0.03349055491938236,0.01610164923070049,-0.059748186781999515,-0.07029917530284067,0.041150657022802344,-0.0372960229452376,0.09306034539727999,-0.05229498180804677,-0.07059283831337253,-0.027795682196279606,-0.04373088075749473,-0.06034916887213172,-0.08856218836391998,0.023168462004512613,0.04042122505239598,-0.0002571312107038992,0.011050179336921514,-0.0071304585733610575
HEBP1,0.005278434452079485,0.03277594098014375,0.050440350319712446,0.007465603650659312,0.06115080752868367,0.012985242154193728,-0.015395990572197224,-0.0064372627222533535,0.021063178334151104,0.0033705868919254116,0.008943992528145615,-0.029244506904335412,0.046383287744777645,0.06899201455585482,-0.08964864551759605,0.019224761634895966,-0.028112098131592225,0.05274463739060261,0.008214630095775319,-0.07099912816851198,0.029697610898751718,-0.01568895236683989,0.005614683112556947
WNT7B,0.013540516614506696,-0.07827129280057601,-0.011889224528923234,-0.02314189312387165,-0.03062271321709993,0.023318846080997553,0.005772110515292161,0.017709596754409793,0.05318570648190325,0.0230993227666178,0.018211105134505332,,-0.014286195132900885,-0.029004791035623936,,-0.03139837175171816,0.015864979061646328,0.025621541182046202,0.035477974390290955,-0.037797749929035916,0.002293800667709652,0.04008244021921911,0.018008177130533678
PTMA,0.02186024961783103,-0.051387022943742706,-0.06610685651738393,0.015715002386768366,0.07532559637072879,0.03328444825113945,-0.059458339187302464,0.005615204778153587,-0.04705312998122892,0.0014784093553585566,0.008992497344583558,-0.06654375198346436,0.04357287909816385,-0.06876983188622242,-0.009031647902254107,-0.11685452192341174,-0.010785477193239187,-0.09047660974485958,0.03970205799937832,0.028953381828605632,-0.017738087526030125,0.02602688434487611,-0.06878422503076648
FASLG,-0.0159705327799863,,,,,,,,,,,,,,,,,,,,0.04036765988048158,,
