,UKF259,UKF260,UKF269,UKF275,ZH1019T1,ZH916T1
IGFL3,,,-0.017553690659218416,,,-0.016653375369717068
BMP1,-0.038898680639562665,0.06821931900135926,0.0774776146675212,0.011856671841979267,-0.11182463347852799,0.03929261665004327
NDP,-0.03928641048340197,0.03250033449925656,-0.045359315604992,-0.009889716255544476,0.07828491019916523,0.031235930110056095
TNFSF18,,,0.03572205533060819,-0.013007999873586548,-0.051271886223071425,0.0009024190593995364
RTN4,-0.02482731905015233,-0.015511583453348916,-0.07540505817630569,0.05637256395003337,-0.08486159689502405,-0.01064655804305429
HEBP1,-0.024100846501300767,0.019898557118064274,0.10535327834581447,-0.006148613680018266,0.005942580472658682,0.039200396785579295
WNT7B,0.05510134958440927,-0.005296827148570204,-0.06171048359841563,0.03633268852666011,,0.07430403588901993
PTMA,0.05077358289951469,0.0005716543159876989,-0.06759408259492826,-0.04517376784644279,-0.037543436568804975,-0.0680645768789042
FASLG,,,,,,-0.014443466776774508
CEACAM1,0.04099018162079039,0.003576123357545677,0.08030181845552344,0.0492462428434547,-0.036052837590799684,-0.020095962660746446
PDAP1,0.0698570460188679,0.0282703439197229,0.044906192306777476,0.042152476349446535,0.07107267165323979,-0.01366994640430453
QDPR,-0.016183277430786642,-0.011084242316663228,-0.051097407533115424,0.02983762743529797,0.01707179878975569,-0.04376655869199359
POMC,-0.012327938452660836,-0.02399169654018717,0.037702106168352664,-0.015093454404910348,-0.01738168058200206,0.01529067432211214
CCL17,-0.01500768031207947,,,-0.016223508422146996,,-0.013091380348461815
VEGFD,0.0009347010949799025,-0.016595313283854024,0.07577636214994858,-0.017284776020576056,-0.049013042649017007,
TNFSF13,-0.010351961997468975,,,,,-0.021331311584699184
WNT5A,-0.04200011149181797,0.025829299095246942,0.04764037868207231,-0.01896082484134716,0.01739739314276165,-0.038730792264675726
CXCL8,0.14096821873458917,-0.034871296074691874,0.029238601194197713,-0.023987951489244142,-0.043143623445272276,-0.04457252730716426
GRN,-0.01807926466650276,-0.01010705625478323,0.08049427791961748,-0.02230316330819779,-0.012848889834035069,-0.021176702200557763
MIA,0.02445985669187314,0.07743287154849691,0.035531340600777284,0.016218976008861026,0.06627096638492896,0.05868500738457373
COL4A4,0.014311865409954735,0.10622993739843199,-0.017297859219036798,-0.000356250361254585,-0.013476608569369788,0.003924276338663395
TAC1,-0.010271308382673986,-0.017921424239358774,-0.05454382488078239,-0.018790415803976546,,-0.017209950655636682
RARRES2,0.012827673758678264,-0.024957845816541504,0.140807999572356,0.03951359170825441,-0.04132971802017817,0.06203472012990483
FGF7,-0.004762367222112906,-0.03177519855725497,0.020281009723972003,0.0429940248333036,0.03721518052653555,0.034209489323274625
HBEGF,0.017472883973600667,0.04391869281878982,0.04379679912418636,0.02256627271650239,0.004470344368888524,0.026590929849335875
CSF3,0.014860245524645885,-0.022215992316351716,0.13059097508536474,,,-0.013783203923142504
PI3,0.13668678580705698,0.015967637995520333,0.05527041432207402,,,-0.02994632310438564
PCSK1N,-0.12137875615376419,0.013039344831930177,-0.06629060366811287,0.018447379759292386,0.06668353416950124,0.02106856755151969
NTS,,-0.019210555529468452,-0.02249388722324417,-0.019349518701733542,,0.12474768547820521
SFRP1,-0.013094781173018311,-0.01893237853316452,0.04629486952309867,0.014151092610175598,-0.03364037855018968,-0.0199367445281187
CXCL13,,-0.018762228903884466,,,,
MICA,0.004574006348514931,-0.01843303595908584,0.08888781529675686,0.00946240300408564,-0.06893061046670089,0.060293273346127704
TG,0.02661879331747976,-0.03097760911235449,-0.022087430812620313,0.05316141811058057,-0.06567005917869707,-0.02687987669124127
ADA,-0.03765070093048065,0.048530750560208405,0.01944178116522149,-0.015589386148987066,0.08530815273104926,0.01952031970887545
LAMC3,-0.05539076307426305,-0.009120456411900863,0.05279303696687614,0.05234469292019623,-0.06353766420090719,-0.004397786727098318
CCL7,-0.010216938806734807,0.005320948590166614,,,,-0.014443461640850124
NGF,0.03925033088607315,-0.01290458389472824,,,-0.0878543036091295,-0.04324328883368062
TNFSF15,-0.01137706106537512,-0.018417551806137442,,,0.048052347112112544,-0.038162126297201296
HMGB1,-0.0838301487577133,0.046127753020764564,0.05230742906424388,0.004705726083564562,0.010525664878577805,0.0069407842452980754
ITGB3BP,0.03515219948989721,-0.03797026753173249,0.05831211163422066,-0.0075428649598760274,0.03169499011460073,-0.02143072893090244
AANAT,0.18271532380035732,-0.016595315652928516,-0.01650781875924095,-0.014698768021394373,,0.16962795634632422
RELN,-0.017968689674809392,-0.03535638950440426,-0.04843911973358945,0.06060254048772136,-0.04308690965396417,
IL15,-0.03593135591957135,0.010274189102166202,0.03227160190322559,0.07464019834037204,-0.05598572477168725,0.01700640443818311
UTS2,,,0.040280968617610484,,,
BSG,0.06768122248545648,0.0182213588291756,-0.0043012668960605415,-0.014782605396071555,-0.0857432595874915,0.06943207306664542
ADAMTS3,-0.015752711226669044,-0.045349572380785165,0.10855702887951639,0.027095859055456625,,-0.022147195999386776
CD34,0.010496080454283805,-0.05987621576834245,0.09335511745982039,0.014774590368952928,-0.005260356643728689,-0.02808288214566787
CCL23,,,0.04168858663526811,,,
PLAT,-0.07795532345521104,0.047412113636601,0.14769028308535218,0.016219834642937532,0.001261229058795431,0.0030016918367655352
LTA,-0.013094780560423866,,,-0.014156445455799953,,-0.0006209385070442225
CKLF,-0.04689322473138254,0.06229393014745693,0.08011195936082048,-0.02164579782556358,-0.018690867366140354,0.06184093136156336
CD24,0.04657130551644815,-0.03697441875775309,-0.006585747448224188,-0.014149656633207067,-0.013406805970461452,-0.021475124090927524
HSP90AA1,-0.021795417133517757,-0.049908403450736154,-0.1281659159522677,0.02723955348810611,0.05168855616657014,-0.0466592086707003
BMP4,0.046432813462076006,-0.02063059049434398,0.01367657404440148,-0.04060479656634421,0.03841747199673134,-0.003824991371511264
SCGB3A1,,-0.019762972257519475,,,0.024300668970563905,-0.030284077492324125
IGFBP4,0.012791309939685884,-0.03355585624341814,0.12279030009292838,0.043844466454318755,-0.029546110131179762,-0.02253189583258526
RSPO4,0.008652385917065044,0.09251984590790034,,-0.016464807887558306,-0.04808576480258626,0.09569943781658088
LEFTY2,0.049387427822797515,-0.024877730967275562,0.031410945597885646,0.029385480079216916,,-0.007519981419140257
PF4,-0.00891407782317942,,,,,-0.0205669744802274
ANGPTL2,-0.014711370664991329,0.019410348057396106,0.09451626189264513,0.05144065799451426,-0.08554877494385034,-0.01572237771292998
LRIG2,-0.000247039405524516,0.07685358215890108,0.038879856844814306,-0.0357031133751396,-0.026281048207039394,0.06068035103635146
ICOSLG,0.03701930299938131,-0.04344726482070991,0.06291675806666183,-0.005480075281402404,0.037172117077906644,0.0014018631580570633
WIF1,,-0.02827517106688911,-0.04781202905096256,-0.012705502266615498,,
NPPC,0.027374692846757306,-0.03978973372844791,-0.02709991828008103,0.01946772252704194,-0.021807343567265724,
LYZ,-0.003681160536416795,-0.017156133080925288,0.03648401319346636,-0.010404244733750453,-0.02200341153460932,-0.01363720450756897
EREG,,-0.008819450758062793,,,,0.06783125278495168
