,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.11297029232727342,,,,,,,,,,0.0591977641546655,,0.09481481703586458,,
BMP1,-0.0071977819614514075,0.06848028418978676,-0.022056985861916237,0.008399106004434569,-0.04812206716562742,-0.029162299417045765,-0.015687124541662663,0.15935548556203288,-0.02470582269365576,-0.0010484043490511803,-0.014043541654080196,0.01494031242259321,0.1349141010406578,0.04809401324224013,-0.04626737211478617,0.014457244853082333,0.04034689127519035,0.06711763095230627,0.012216839219303135,0.02779303329617609,0.011684674320010592,0.19333253402588704
NDP,0.014323892053730657,-0.06460033016143903,-0.01607424470845981,0.12219278183339735,0.022435423550915448,-0.0028370286456585532,0.062183564327807785,0.04778026903360507,-0.04743915810066612,-0.023907193869491875,0.013101346369978716,-0.020574721391285876,0.04117150097790287,0.09779485436077642,-0.070320397020286,0.018994002237415573,0.10127303467312687,0.04317237583908779,0.012979764213501367,-0.006562252008692988,-0.016988766002943773,-0.07153932606999751
TNFSF18,-0.022885152519951636,-0.00978279146541345,0.06635996128354042,,,,-0.012399101177060105,0.04390194324906478,-0.019157322955866928,,,,,,-0.04088558337149114,,,-0.02566071201592563,,0.05935678055394367,-0.030906818742456352,
IL36G,,,,,,,,,,,,,-0.027607194675921914,,,,,,,,,
RTN4,-0.07343132388568237,-0.001958119921100956,-0.008714165535627592,0.06002895702197687,-0.01657934737354141,0.014572365245269196,-0.02400497743618923,-0.17682067394216752,0.010243492570941046,0.01401576832348061,0.027710426788085673,-0.016310973457180654,-0.09053051069890955,0.03717978989863296,0.021677099616554944,-0.05034407512822716,-0.061121441257498466,-0.03639471380206616,-0.0008853665692672595,-0.025680403593486646,-0.034917352319181395,-0.05727640857214717
HEBP1,0.014958208399841442,-0.02510586564530067,-0.008520557739979522,-0.02624200917235819,0.005376865990681546,0.020147709518512493,-0.044733235620416666,0.03766632571674023,0.013858157973636022,0.0011068166222653717,-0.014266823982158927,-0.04059080029994768,0.06439989796506612,0.0712880833976928,-0.017453231927313493,0.05515243384795649,0.061467986073383774,0.0027139278995217584,0.0460210375933673,0.03061730767634577,-0.016053561869620026,0.06794027242751063
WNT7B,0.07133728290789022,-0.006911024110566797,-0.013513715276117158,0.06315313331756307,0.00745344958536777,0.003054328664843888,0.04507744032666522,-0.06568680240313891,-0.033914847389675325,0.07047924730055932,,0.02358951240211429,0.004574823789588183,-0.03284814212904335,,-0.002028216387465826,0.0018204746898499713,-0.012688131656763062,-0.025860407247953292,0.13288525178715987,0.045113354459030086,-0.036495376602033225
PTMA,-0.01582548791781986,0.01469984194045178,0.02453938906217698,0.04083232266695471,-0.03198957962833533,0.01280119379512058,0.037322731075251005,-0.08545995532314343,-0.04356569478419155,0.02248700145855601,-0.03404069470071395,-0.021408891587212354,0.05131535882901242,0.011612322947623637,-0.06580725208169179,-0.019869702816326596,-0.04979287047741521,0.041867255907799036,0.030857958574948614,0.004138682571423298,-0.013615732312797918,0.0032321070870642782
FASLG,-0.020161108286660272,,,,,,,,,,,,,,,,,,,-0.021285005010258776,,
CEACAM1,0.0051336209770878,,-0.04195917277053735,,0.03171310984118614,-0.014343777790455245,,0.03902389920160669,0.01671433777751671,,,,,-0.06606016370368303,-0.02874950398127109,-0.03186948574124522,0.017368947636981755,-0.022142177294538833,-0.017163928396483053,-0.0015198286699842484,,
PDAP1,0.05881488492152395,0.015164784614664048,0.01681655369716023,-0.024089636883110194,0.025892205221717316,-0.007993432425316856,0.07043690423366283,0.09305201908532533,-0.030309777212496752,0.05678328847359159,0.04141307882142532,0.02711827199620225,0.09156500835182972,-0.04093498122777026,-0.002337318808596055,0.03945850065294795,-0.028212632444650238,-0.009183951041058633,-0.007753187227666237,0.033221857780474456,-0.014317266064719907,-0.01768992732157832
QDPR,-0.09411318374045428,-0.02538374286621759,0.08135598275936089,0.03034875881831964,-0.03368339743485479,-0.0007594095983422157,-0.016315748258923752,-0.17829963174488409,-0.0013593558050523848,-0.03142628779278088,0.009007680626644029,0.029491486677309397,-0.040790516142474816,0.05453783441877983,0.037012418946246135,0.06323034026239477,0.05361509778100254,-0.09850001008165006,-0.019481521747151783,0.0497423586448619,-0.01572410474234493,-0.03424658045816027
POMC,0.032167394984251266,-0.04976241789557987,-0.022078425634324415,,-0.01635313605302623,0.00912256048352184,-0.03271132968491083,0.04370391646708723,-0.022228642632573743,0.047877343651161273,-0.05193386193017198,0.01593667737288119,0.004530383780879682,0.04134393672458842,0.1592922183325744,0.02406380765093336,-0.007700796618951322,0.012186545898387954,-0.00130271323729643,0.01162299729924518,0.06873530527804078,0.0693976451622011
CCL18,,0.20677002598066754,0.013651984219403364,,,,,,,,-0.09065420831369637,-0.009347349583521958,,-0.05664313675905201,,0.08541005129478407,0.08827682911153602,,-0.05910820477867442,,,
CCL17,,,,,-0.020841726181686754,,,,0.02366443737604791,-0.0013670547664571026,,,0.02075554015281029,,,-0.029906496806455365,0.10374899844831256,0.07592722891471514,,0.0024150263240387405,,
