,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1019inf,ZH8811Abulk,ZH881T1
IGFL3,,,,,-0.015859557561882162,,,,,,
BMP1,0.07239709610532673,0.055846688727673725,-0.024741620024161314,0.024124333373712486,0.09118729703438071,0.057149717863093245,0.042634403058026196,0.06156167387124012,0.03968014527799579,-0.010854675138239823,0.01513361932652541
NDP,0.007078655959544109,0.021661927702296774,-0.04016206153210083,0.023740533296333344,0.010296560579604378,0.040463340591086,-0.0011309521451383852,0.004633535638073681,-0.0039732889922518295,0.033607867648504895,-0.018410275529628987
TNFSF18,0.01527572198876068,,,,-0.023550966862429957,-0.016298662614656314,,,,,
IL36G,,,,,,,,0.005576966392154455,,,
RTN4,0.05728167164352613,0.06982099291646332,-0.012440779958544788,0.0023259917992421737,-0.06992105488625167,0.024774742540987816,-0.056363358508773984,-0.06283478397046832,0.0471662283504541,-0.01866814934712847,0.035491098984649964
HEBP1,0.0759744230783757,0.0267991811857088,0.005528143381786473,0.02608128929293974,0.033100809099907216,0.018544370192072696,0.00579325897739857,0.008728878023417881,-0.02038368157813701,0.036547669790940505,0.008525100525239604
WNT7B,-0.033492768079342934,0.0935551933926418,-0.0010976139651560086,-0.03040712668357502,-0.053626961928905544,-0.0023339747772471793,-0.013333400651793056,-0.02609185495965832,-0.03139837175171816,0.017343661221492713,-0.019769039206917804
PTMA,0.056459140783002536,0.019890961133332073,0.05090892587596527,0.012753024239341734,0.02232420920057157,-0.0038504892566522415,0.07487487158036606,0.081787577227363,0.030895040151915555,-0.04497009888993768,-0.006100966816439807
CEACAM1,0.0482961300612863,,0.020226347713510406,0.05030099193722513,-0.017917028612312477,-0.02563391339665515,,,0.0736443772206456,0.054854777141133695,-0.0131209988366157
PDAP1,-0.0068945706184059125,0.004668403951816784,0.009434762631963725,0.004593570947517542,0.08311218541158776,-0.02613128150231208,-0.0012224583207769092,-0.01938964077228179,0.04144941297668645,-0.02699591913867251,0.018918156750020485
QDPR,0.02378521861444719,0.04670045401478002,-0.009057849284181883,-0.0006946722752482054,-0.06397325751448948,-0.03347616278569052,0.004818145870829564,-0.02533890548553915,-0.05372957626261189,0.04391326211832937,-0.005353374002308793
POMC,-0.0040572582670278835,,-0.020680696951766532,0.004329368520185897,0.019200461263022037,0.04058845364749917,-0.0034299808237518,-0.0299792621064004,0.060228833784894055,0.1471022672776812,-0.02146423044840482
CCL18,0.007403359560178841,,,,,,,,-0.019964883929448833,-0.030059268218553672,-0.0029522677463738934
CCL17,,,-0.006605172632008477,,,-0.02032760553261776,-0.016503012281941783,-0.02168621574459243,,-0.01596133284406501,
VEGFD,0.03457077253127955,,0.005424718586220984,0.05319659361052688,-0.02656901314357882,-0.021657344362473133,-0.012105159086754566,-0.02324178910794302,,,
TNFSF13,0.009778917059499705,,-0.003987245593843883,,,,,,,-0.016055615826559663,-0.014734002290912367
WNT5A,0.06334039115923785,0.07794875294445192,-0.02759538217948178,0.03907824656388973,0.056502880850483585,-0.02928326421012281,0.0452903293997848,-0.023269959883468503,-0.009619998487997716,0.03268347848788593,-0.016273442404868905
CXCL8,-0.013315895639727258,-0.0030813802774086246,0.061841405320014434,-0.017741721265025705,0.0016168458870223599,-0.04252053603671039,-0.011272850491401589,-0.006708930954787156,0.062252928956061986,-0.09167720083550022,0.01335146645421682
GRN,-0.0032900802215169622,0.08467818355040113,0.00043722221303196,0.005279727241593702,0.06546885595756724,0.008514653686513595,0.03795936062633086,-0.032463649259623834,-0.02125800355821705,-0.019054796567763686,0.00455763446922314
MIA,0.04993398684059112,0.03914713216399846,0.04001265858200555,-0.003523385515121087,0.13730977178017884,0.011591465077941532,-0.013767069138417087,-0.031830695297818665,-0.016748848054868728,0.060495865190125474,-0.021176038383616428
COL4A4,0.016472449670382115,0.04530768022635681,-0.022814098435924187,0.008489763102510215,-0.015628416798924214,0.031954114258476496,0.09209449826163615,0.034777861846940566,-0.02524185138012182,0.022559193900567008,0.0333872481713405
TAC1,0.0805506665221367,0.06364752124652553,-0.03765550598228175,-0.03182273916296958,-0.052295992460479564,-0.009965603920002179,-0.018121154249442988,-0.05472042684177888,,,0.010504371143942906
RARRES2,0.04710736731188975,0.012898975753676491,-0.013239616814192326,0.0043474542121796815,0.06193037680079805,-0.03418419964082552,-0.014837933955135494,0.029029894731909263,0.003004509392352577,-0.03295740854633145,-0.04047616868788305
FGF7,,-0.004460236840702931,0.01161465162301457,-0.00805170282706891,-0.004731576773022113,-0.036475293617990505,0.11628039648327797,0.006566318999251874,0.07270524167851997,0.054345314177560666,0.031245454883411614
HBEGF,-0.01814424530040343,-0.01888898381870714,0.027889836074050038,-0.00874087208722311,0.014704263612609248,-0.045393510435496505,0.0611385207405001,0.04159378863253677,0.045726598133787294,-0.015609254199374588,0.01196469750558519
CSF3,,-0.02883986319299841,0.08785576544645637,-0.01831351929447101,-0.01653456416359214,,,,,-0.04014380384972543,-0.01881074414322479
PI3,-0.013804309196465721,-0.03243623139791024,0.0802853921842751,-0.036838341378044565,0.1051284537622122,,,,,-0.09997126055561496,-0.008548781781067374
PCSK1N,0.01634219652577474,0.0540783998450361,-0.07435678573917813,-0.032867563468412124,0.00973203286112672,-0.05274742748000901,-0.09509047783894387,-0.03962462108964031,-0.05625295369055093,-0.005695062709645258,0.05408856669512705
NTS,,,,-0.020392183486474418,0.05660268631054764,-0.024244409604886,0.07913926125616498,,,-0.03723612801168831,-0.03342492245015396
SFRP1,0.033748812951807504,,0.022056929864809706,-0.02261477967845792,-0.03315019339127508,-0.009702303433744931,0.0008897121123148092,0.08060962581206073,0.012038808389621704,0.0669796703382208,0.03350842649146141
CXCL13,,0.20553139616246055,,-0.022411535465281046,,,,,,-0.010867134977010433,0.02217063340899348
MICA,-0.010518616450447578,0.03791752191615292,0.03805663991236326,-0.025793974509822504,0.03432760110405915,-0.03623373438476303,0.07130758902327099,0.03081121629723551,-0.006859747780616416,0.04393430740881878,0.00935054576153724
