,UKF260,UKF275,UKF296,UKF313,ZH1007inf,ZH1019T1,ZH1019inf
BMP1,-0.006213199920360927,-0.030672229882931785,-0.0044024857188151275,0.05253615817236329,-0.04454280350708402,0.058972496216800716,0.057012247379554404
NDP,-0.0058115845414873244,0.04012894016069511,-0.002883869792880348,0.006018714147391009,-0.01445244105627841,0.15081154495802504,0.0659557384206849
TNFSF18,,-0.011533386803734712,,,-0.026700427446993483,-0.05713108807634686,
RTN4,0.013997781128573727,-0.027337029805478516,-0.031067673477403843,0.004387066235259748,0.056882545333415205,0.07462239604596983,0.0011445178385481956
HEBP1,0.10447611272331321,-0.007506538899828509,-0.04295484667266523,-0.008420404710540315,0.020018546037357383,0.00931138197477188,-0.010895538471119084
WNT7B,0.03018310272987812,-0.033059379656871314,0.0011717562153750573,0.006756037681495651,-0.02939456451297533,,0.20385631550273872
PTMA,-0.0365254178100824,0.011103057129746493,-0.0031494760863237242,-0.010427372160591121,-0.04544863085122082,-0.12504452659593773,-0.1116632530666819
CEACAM1,0.01044488009815604,0.08582305558006621,,,,-0.040172850884416286,-0.030154044104489405
PDAP1,-0.005818315598586991,-0.023461712228597355,0.04921282935279025,0.03959340385685137,-0.04850530653040622,0.025160698617780586,0.028003342134031464
QDPR,-0.010194189383877847,0.033258992140591186,-0.04178582169374084,-0.015617129286512784,-0.0037536241224158267,0.025596900073559074,-0.1434583682196636
POMC,-0.004459976787232524,-0.013382430008309019,0.0037752396319021106,0.008031436839268467,0.06392731954753963,0.04155508765923737,-0.07181007578375409
CCL18,,,,0.00014917667361633437,,,-0.02137971305012635
CCL17,,0.06217871678775931,-0.020210597440032344,,,,
VEGFD,-0.005024585879066909,-0.015325338991278525,-0.014824717637619046,-0.01615154768783745,,0.022025959441912272,
WNT5A,-0.054930081437087525,-0.012095185848445272,0.016585710625557682,0.022296009605623782,-0.002239590747225236,0.026344118607133798,0.08064541783211518
CXCL8,0.037003784220780746,-0.03018124042202094,-0.013805421664303649,-0.05649789382756189,,0.02677182042203183,-0.037642350915895455
GRN,-0.04544766417749064,-0.014357399543829079,-0.01239188751208441,0.05521243822463607,0.06491199445364057,-0.007694110052608558,0.05825511192463191
MIA,0.057159060912591944,-0.028272686857155283,-0.016859994256327497,-0.021904400337400588,0.06390500754743303,0.03149622236733677,0.030067198887371138
COL4A4,-0.023456991037164945,-0.015017736527597367,0.024178051036964375,,,0.07336650095071384,-0.02703063745664554
TAC1,0.0178924947305158,0.05857586203224477,-0.0351318540378205,,,,
RARRES2,-0.03179835330321638,0.044247952519172636,-0.0259162741458118,0.0010661623980060566,-0.027673201550073436,0.021399302508856268,0.06357835000521818
FGF7,0.04118220647554201,-0.024941706917279684,-0.02861487588905542,0.024551654317532225,-0.027648914800453006,-0.0010979120465480477,0.1739731163336013
HBEGF,-0.03904047241781445,-0.014221731977516241,-0.038071296325984764,0.003890421123686265,-0.05156786629772334,0.08205556881617548,-0.05268268115430533
CSF3,0.014797067391587463,,,-0.02426489389587735,,,
PI3,0.016772535096703376,,,,,,
PCSK1N,-0.06483766909545703,-0.02912231598084706,-0.0033121949277173826,0.04290961043223386,0.059171495548619724,0.010746050337027458,0.01668103362943023
NTS,0.016282615239826718,-0.0171560182827447,-0.007316459089756939,,,,
SFRP1,0.004531958369012814,0.02559144703508257,0.13767312381200575,0.04719576864502212,0.021153047359104903,-0.0815846822252617,0.07401038961312649
CXCL13,0.005880565993651054,,,-0.008325542658638177,,,
MICA,0.0579409560562818,-0.012134886255399291,0.015642383472160615,-0.018563327305533783,0.06017196681118258,0.06932137834901957,0.01630892397183805
TG,0.040831359431485845,-0.014491717311744017,-0.014626321600383943,-0.03447440506637867,-0.03421784452808054,-0.037887427757072614,-0.034811171376683894
ADA,0.020407759275039343,-0.02774211592863695,-0.011420271633933929,0.033795057897623326,0.029788831885781273,-0.003479790771486555,0.05073152154823623
LAMC3,0.0027688075294750652,0.007241983602594283,0.009587767006173397,0.024749169066779778,0.061818773844819014,-0.058157887120466364,-0.016750587048546962
CCL7,0.0021839054665572246,,,,,,
NGF,-0.034696031849698675,,,-0.019604793653844283,,-0.08959092586427246,-0.03177160340407138
TNFSF15,0.06783396308927807,,,-0.015452361375046133,-0.03154019065646828,-0.04488890204172565,0.032388070055358174
HMGB1,0.020541762688784892,-0.015384110123693038,-0.009145858198844416,-0.022702007325728028,-0.03803597775853801,-0.10534741359544444,-0.1272949812542723
