,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.027125799133882692,,,,,,,,,,0.03990070986182655,,,,
BMP1,-0.08339625683945005,-0.09404117332298827,-0.0023313694003282985,0.005333620969159507,-0.003205117550277044,-0.01593054036290277,-0.25516056865430975,-0.07979541781259394,0.02777902538861853,0.05914865414759775,0.0922062801716367,-0.1190819330487267,-0.058494747564883376,-0.022676839918316618,-0.047844912758761945,0.04345165728080819,0.03680149903587152,-0.04579063488828054,0.12809193657343335,-0.017796925118945435,-0.0038257538919003967
NDP,0.011640347539556346,0.051851094435092886,0.02020375855837076,-0.014995304065315351,0.006347952487386098,-0.0006293799494735012,-0.001335510268044433,0.019281076545920733,-0.03917609607360011,0.039224266216012715,0.06245242781805714,0.021597915209334226,0.024428538726531387,-0.007770113856683406,0.0016603709176050056,0.03301656556739468,0.011779416962893741,0.0183934063314692,-0.036079371503516644,0.09021582517274107,0.10746963357719758
TNFSF18,0.017508243588583255,-0.028376470229477598,0.031890817276012395,,,0.023046239501219076,-0.048497040590942085,-0.022933969575861596,,,,,-0.011756441381790798,0.23013849192948435,,,-0.020523149738318414,,-0.03512677926266323,-0.06467050595995767,
IL36G,,,,,,,,,,,,-0.004191053000950236,,,,,,,,,
RTN4,0.03583327231340163,0.02082908026505784,-0.004683671388727151,0.04896683353503132,0.03955777585746588,0.14007654374715944,0.3104194571798275,0.0696161849275144,0.11605118494746995,-0.10776918381505426,-0.09017896132412936,0.16284765596503312,0.008152747816589425,-0.03868180630227405,0.08011241800269094,0.01729449534054263,-0.0031310944806400036,0.05384853085849198,-0.04664240517292567,0.159578718410075,0.05813211835024345
HEBP1,0.055782378366446415,0.011694217593041178,0.052072898269463604,0.005178396921999428,-0.029910103218922693,-0.07048809028994751,-0.09964224020271877,-0.04185328780103119,-0.052298250689187045,0.10227685814423612,0.0499004471441756,-0.03536074894299371,0.020741504699322757,-0.030933655115564226,0.008391839187827058,0.02666861868455738,0.0010624846917866393,-0.03236737375167313,0.16419956649998657,0.00250752281171254,0.048062783898040556
WNT7B,0.02782392140237922,0.07189947863688842,-0.0012014800415285748,-0.03186427707757421,0.009520199696530982,-0.0007242056404400531,0.17550895838278366,-0.011028418854728573,0.03534154328478418,,0.0979246578020025,0.09823833161215854,-0.03737150396705278,,0.03570753719456458,0.04313966713359676,0.026961911358044387,-0.019769035967396705,-0.03150848643134599,0.05858790109824732,-0.0259063922150743
PTMA,0.06063979674771139,-0.04560809861933726,0.004973690145227206,0.007078831264555643,-0.039528356753090875,-0.10607564162311385,-0.002970157713420349,0.07643127630161639,-0.04692717655781051,0.15885601390203838,0.16950314406376332,-0.16303972212250656,-0.0007127850503900266,0.0006249583261280363,0.041527216888043866,-0.0654539732745149,0.11376460076626357,-0.04119458236130583,0.0912552943993016,-0.10067161209331603,0.11578393580007085
FASLG,-0.025943823100410875,,,,,,,,,,,,,,,,,,,,
CEACAM1,0.021102772888247766,0.02549581075837384,0.03244342941746801,-0.013432120276021161,-0.016402713483915587,,-0.028382836437437102,-0.04364139020378275,,,,,,-0.009738888036681569,0.037951106633394315,-0.01471619734147584,0.008020268616315974,-0.01312099668649843,,,
