,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
TAC1,0.07967224586483446,-0.020245067683224156,-0.03191267201723757,-0.010889650528860017,0.025980589095993913,0.02729132700438927,-0.03317081643635883,-0.14101577193702608,0.02168620606364857,-0.037113347511520456,0.01859710352164003,,-0.03677907483435539,,,,,,,,-0.02313236745951712,0.06884071238150749,-0.07518942702032963
RARRES2,0.0756571388436117,-0.0073136306037020595,0.013197455722000023,0.04867855292522131,-1.2074262235564445e-05,-0.016521332480490713,-0.011474394882468738,0.22594698823319262,0.1361373597884615,0.06729741261419626,0.05465761154849785,0.01826156988030085,0.08809534256155584,-0.04267013815075614,0.027942266078395818,-0.15457766816756177,0.003479762064452323,0.028244370397948006,0.03552571997608013,0.05577388105082649,-0.01697061849771725,-0.012465522348817306,0.0023431109023159705
FGF7,-0.05065810671866402,0.016206636183342216,,0.028089171293741798,0.05580042686940686,0.07282555387720577,-0.002191865541408508,0.04195263064552965,0.034401263920369664,-0.04232184320296113,0.028005321344325842,0.004794192231262674,0.012310781369326226,0.10477942251547771,0.023308979522488404,0.08981892114710975,0.06573490785312078,-0.05355770376371055,0.033899763877538486,0.04044645672750053,0.01717929000995319,0.09703355993171105,0.05449200185756298
EFNA2,,,,,,,,,,,,,,,,,,,-0.03886352306792131,,,,
HBEGF,-0.049867249845760714,-0.04048990784833258,0.16565326257196783,0.06004766888247564,-0.01842768706365191,0.0488666521663335,-0.00939707964131082,0.14442401681903488,0.00662901119899599,0.0005084131361968199,0.022117931211422935,-0.027850473545508753,0.07803270715298646,0.017423017325746793,-0.028591824057625056,0.14594260393629613,0.01962017369700078,0.10517957527505449,0.09386841750523645,0.12271223061071139,-0.004119213650614529,0.0375643200995133,0.12590592500777995
CSF3,,-0.030892728425833474,,,-0.007374292703767596,0.11623762742867924,,0.0561386546153657,,,,-0.027031292920780062,,,,,,0.022111904843049153,0.01984905324484674,,-0.004909930880491955,0.03415292974494172,0.03205158480841187
PI3,,-0.0633241421756716,0.019643478122474745,,0.025448136841804213,0.00924813420816229,,0.08960865152499896,,,,,,,-0.0016315832455116612,,,-0.018589928512265843,-0.04879509720982393,-0.03778781704198186,-0.002539696280114033,-0.10635827574485585,0.03161326107342993
PCSK1N,0.0775732052109962,0.019439179535164875,0.018633498413501787,0.009921431127463597,-0.005277342339489179,-0.075605762454005,0.01479889495206731,-0.07078175035699584,0.0034228448659528554,-0.02157120890027829,-0.037622791143779824,-0.028622282144086977,-0.0058614766474738254,-0.026189648696284738,-0.020596446140653504,0.08489526207557169,0.02566338464039655,-0.010714376631988076,-0.06627907974871936,-0.054711228697976844,0.0005254533072442819,-0.004247697334322433,-0.10568648642712478
NTS,,,,,,0.08899149711265096,-0.01799602712528852,-0.008972450304398697,0.010090602164449361,0.02187853276140138,0.0001955081136149276,,,,,,,0.005268475164127881,-0.03655461940302977,,-0.0030593921341875384,0.01835002461035544,
SFRP1,0.031998147188915964,-0.012482355179865815,0.054472300196433315,-0.0028692133635432877,0.06156043678062122,0.018581553381754247,0.042497451711809596,-0.019084108357390123,-0.015394647289540675,0.003189683132565484,-0.025309620850469415,-0.01943498698945547,-0.046095304676824926,-0.04699203676754567,-0.00755845745955586,0.10163101490284991,0.004857568468851391,0.04061550973671336,0.03938010446685932,-0.06075730934086793,0.06898832578883747,0.026918211243044173,-0.017068434638324116
