,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.10275480448177544,,,,,,,,,,0.09664668471498607,,,0.02611103274401455,,
BMP1,-0.015133707313807782,0.018499762317152744,0.012563674925929537,0.0009090193265739566,-0.015537148329876006,-0.038164919611309425,0.06052812323471373,-0.03606226131121649,-0.004218718856366772,0.034033709569363996,0.03294297152525169,0.03798940855246573,0.12869332779924336,-0.002410787837984912,0.04747321987620315,-0.014358208092641437,0.022316647115571544,-0.055337406841592766,-0.014685163958203481,0.007791057012889248,0.12452830012129856,0.024259100891048144,0.012097984455875824
NDP,0.04514256314309281,0.07657228195422683,-0.017762364605150623,0.012866568755948748,0.035696346834546144,0.055417430562945395,-0.009974364750459683,0.05732306703376504,-0.016558411033031545,-0.02531613176666451,0.13293493916457164,0.018955299638670986,-0.02819959127743244,0.17449536485432082,0.07213818368725619,0.03706469260927748,0.1188790560234111,0.020010610594210828,0.006864794275904045,0.07167631759994905,0.04647712842070087,0.05558759518744212,0.06788266857223199
TNFSF18,0.08028250085088692,0.014584978563465564,0.0020645687177254213,-0.026217138340678944,,,-0.018168049688248113,0.05319609418405902,0.0387068921289693,,,,0.09172978029984502,-0.031016606319391796,,,,-0.03265158967910225,,-0.016452888511396802,0.038174086066235194,-0.045144844574744096,
IL36G,,,,,,,,,,,,-0.02659890766604134,,,,,,,,,,,
RTN4,0.09023447799716434,0.07911421480006754,-0.014491824665436186,0.01600516597093069,-0.005232871849780465,0.11383781907026806,-0.06908257661547373,-0.004845807419911215,0.012235661450213405,-0.012588688011814236,-0.09118050384339248,0.01050048467548894,-0.07980886449919114,-0.11011640689902061,-0.07614684281688607,-0.10733317108053643,-0.0260566885904102,0.01433957153408977,-0.07458356433378109,-0.12939704523388743,-0.04997693455507223,-0.07154968506121052,-0.029273168454635977
HEBP1,0.0014956546304334649,-0.029303995559372725,0.0015598363743452989,0.015093100910074327,0.0016576437117005512,0.043899721324433955,0.051929051675336894,0.06204585093604892,0.0413899283156885,0.02776265554168606,0.14247105108454683,0.010153486986668635,-0.08643213986498798,-0.07409055835776583,0.05122130212831706,0.030231299471387228,0.07556888661677505,0.07660084940057815,-0.006551570846962095,0.11853067603586033,0.04200613513395193,-0.0346561422305721,0.05602894639307447
WNT7B,0.04822865437387186,0.05809126586350631,-0.03674641782218725,-0.029210511178129516,0.03628417122011013,-0.021773618489363173,0.028673203368208396,0.035758588996373485,-0.02878751539237836,-0.02799247065727931,,0.06712203739750623,-0.03306739550002897,,-0.036536184584030844,0.0254001217938294,-0.022296639751402097,-0.011881427341774543,-0.051645007742454535,0.01343858890877698,0.027699425128774297,0.037118097165391085,-0.06852428553811875
PTMA,-0.0016669199582181708,-0.012030699996392972,0.06666336124270116,0.02094570438670505,0.010258231270469714,-0.0686619293948185,0.08441314514832061,0.04832265469190049,-0.054027749936587266,0.08284030996344102,0.20976351167353322,-0.0715995478420179,0.07331042609236489,-0.134272814037913,-0.17132149813291786,-0.042980395423680026,-0.04129183587229774,0.04731028899598965,-0.013558447495561357,0.055615747089406226,0.03307206281442304,0.033868286056035514,0.055730924089862396
FASLG,0.05281718968839256,,,,,,,,,,,,,,,,,,,,0.054294163524584674,,
