,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.03569440427048172,,,,,,,0.12075767547535886,,0.08771906201690163,,
BMP1,-0.08187737755158975,-0.016045133010363234,-0.018843000559248507,0.052887355650583535,-0.07445717317105992,0.032037143385984616,-0.026361722821914294,-0.15084923337407372,0.01937780479723116,0.08947704981409224,0.0681419170872357,0.03191666148872142,0.039525126207978135,0.011874791538545572,0.04668524976658217,-0.066854595766025,-0.06582512162242414,0.03468187742401193,0.025835076535055283
NDP,-0.004889863020985686,-0.013870463512894084,-0.007573905431231196,0.04816288097027223,-0.05350879206509367,-0.02465266950975329,0.0010583604632199324,-0.05528136666844676,-0.026523702788590255,0.004663637568621259,0.06188838498484402,0.034412074495264774,-0.015169590812858132,-0.03936534865149539,-0.03377213446283328,0.06171439594269713,0.009085630502706646,-0.09909841941527957,0.029325771869785838
TNFSF18,-0.01927998241522272,-0.027232128600384403,-0.020026628211193234,,,,0.05631508131083602,-0.024540092797400388,-0.01834187638097827,,,-0.025257716666446405,,,-0.03712028123037807,,0.020672198506790952,-0.02568532160157249,
IL36G,,,,,,,,,,,0.053322390933987336,,,,,,,,
RTN4,-0.004169031748661803,-0.025508798727140767,-0.059470442503454374,0.006757138202084875,0.02134568848941931,0.026376623885434814,0.028917100856032246,0.22827836386064085,-0.010624437426370188,-0.10203025032454131,0.002187782157430769,-0.049786438549588426,-0.02717291938632512,0.0015660738981059716,0.021721680915158238,-0.007752894410382935,0.06959836427737454,0.08835800438679009,-0.0050746820844972005
HEBP1,-0.019762758466064876,-0.05423954868880832,-0.04812207330260349,0.01928126247246635,0.026600422783240592,0.008193706572887207,-0.05339254979942086,-0.05552597034913511,0.021985590706535267,0.09092594044508183,-0.025151781700617045,0.04035446099558128,-0.02873141418667886,0.06907260033639764,0.05691564692708805,0.04997753789171334,0.0012243330547925526,-0.028965831552093278,-0.008341104442176993
WNT7B,-0.01698506064196971,-0.020956497535477934,0.021535754935675517,0.09212643119322238,-0.007784992872062962,0.1477222391107339,-0.02528811665417214,0.28124822558003076,0.043914643247026285,,0.0425789610188482,-0.02780628075997004,-0.01864564409448644,-0.03489714788477402,-0.016364951671122976,-0.027240234752691942,0.012442589292820123,-0.00705063737833179,-0.0364953505210622
PTMA,-0.049118182348401554,-0.02407136076391046,-0.004583061257202857,-0.02029243886834509,0.01504785902971561,-0.006263546027860681,-0.0018047276278520268,0.08693441356342113,-0.02294764917605061,0.20602629857898333,0.08430733181465994,0.000347201842193065,-0.15174918542858318,-0.012076806791145202,0.056168694871005204,-0.05350058065804656,-0.0311611460916738,0.01740244897339451,-0.05263270531246766
FASLG,-0.016985065443602843,,,,,,,,,,,,,,,,0.03414735741461046,,
CEACAM1,-0.023583912016422508,-0.017332503538678195,-0.020482545872742414,,0.09723757754215168,-0.02148686416979659,,-0.030861307000249596,0.010377154370870749,,,,0.13597654946318796,-0.03129632118283527,-0.00685465413656288,-0.018079739979175995,-0.005138783617825363,,
