,UKF259,UKF266,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.06972532134626987,,-0.026101629410234556,
BMP1,0.008050596124698203,0.12760928706033153,0.058589737757299136,0.0021075896353764502,0.04868251098505502,0.0743095233039834,0.018418417812394672,-0.029429331668239436,-0.00024358572690495988,0.023901956470541715,-0.008643321563473664,0.039735984253787035,0.014204049592725069
NDP,-0.005888827526184715,0.02769051662158572,0.01661245580103855,0.05111606701792966,0.03909251081934913,0.07646284151404766,-0.013492320641454733,-0.02070761843098189,0.004730837944956455,-0.0005775660446629952,-0.05666426665913404,-0.010370505997383891,-0.017061962947588202
TNFSF18,,0.08727732402176211,0.16490969871540465,,,0.01881904513688243,,-0.042222341616977674,,0.043127579669275114,,-0.0029105304440067165,-0.03090681887637717
IL36G,,,,,0.017244763110266546,,,,,,,,
RTN4,0.01845660885308422,-0.0543490024851869,-0.03659386095684435,0.00928520730377826,-0.07176762339696305,0.014842017235009003,0.07149648400544094,0.0328084180219383,0.05463486893513215,0.028559550345016,0.09887283993446959,0.012898431521322183,-0.030054244767252124
HEBP1,0.040177487446347124,-0.009890998418004402,-0.005819701815273128,0.06899017885453586,0.005631198002055897,0.058082559741300555,-0.020696874554123893,-0.009493564172363706,-0.00471381014102053,-0.05052776396878342,-0.00535145889992983,0.00541035893763186,-0.018316158403513198
WNT7B,0.10606416933069125,0.03681886794595928,-0.017896569898210507,-0.011246854250185165,-0.02037399915270283,0.07923336146519602,-0.02643695479682508,,0.05086825541071873,0.028960791409272303,0.007336032380260272,0.03779177356431877,-0.0337791386852281
PTMA,-0.011333531284789183,0.05927025593107191,-0.05354548441922334,-0.006015048347340402,0.050679807934479106,0.0790225196938053,-0.10720963410830439,-0.05701027427773769,-0.083127346507485,-0.022263053649093142,0.04340099622890215,-0.015623204314685146,-0.013460621905629576
FASLG,,,,,,,,,,,,-0.004251084345974527,
