,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.01325944209365906,,,,,,,,,,-0.01684271269890634,,-0.03129172030238114,
BMP1,-0.030082132507078436,0.05508644796553508,0.06689277541925216,-0.0008309831222946633,0.04330227390846651,0.05347662527344821,0.054097732116517784,0.05170364470623833,0.03670596973301343,0.05908147962087697,-0.03834482781094067,0.015999998644962495,0.046511576455093046,0.065467698131454,0.01004508335353523,0.007098369374473163,-0.019696694674119015,0.03047873949288774,-0.000838634833306319,0.06926337516237814,0.1294742105003055
NDP,0.039205456662703614,0.002972388023565472,0.009220808455546426,0.0004687598005677667,7.321005237270158e-05,-0.0170406780578415,0.01954452378060697,0.07745598328174257,0.05677385466514302,0.029936494990027582,-0.012936792467342726,0.026740487737663382,0.020874832045475744,0.08482612614094873,0.06090116980806453,0.08389862853334988,0.06016088792112175,0.08103768680262903,-0.006672222525164668,-0.01677104253235698,0.0839520038350629
TNFSF18,0.08125658778192865,0.0641979197291513,-0.026901505617214046,-0.026150646460204943,,,-0.013800790268426953,-0.0030391094510325086,0.062201827594812596,,,0.00804875291223026,,0.03718757366645456,,,,0.011875983708833636,,0.011305490504952038,-0.028798090854085474
IL36G,,,,,,,,,,,-0.015263924682998808,,,,,,,,,,
RTN4,0.0127152323514125,0.0070913341648309244,-0.07384760840823884,0.001854705584996185,-0.012584830067129649,-0.02844088476457457,-0.005567398284287698,-0.0851909684770388,0.05230106133647412,-0.11179121936404578,0.05827776983156657,0.07879236777484559,-0.06433535063670473,-0.020220601983039325,-0.09433937726471067,0.0590903427606755,0.016260090394893893,-0.021251747760338835,-0.00037744422098487607,-0.0024098033002493643,-0.011377054224014685
HEBP1,-0.08407760530570663,0.022829236312435337,-0.014646525705057839,-0.06812407479374843,0.006244409805145461,-0.04489576440721599,0.04574633630352521,0.05630613919827197,0.04932409898892373,0.03073972959617996,-0.005508252638137192,0.05976003567422733,0.06177186611836412,-0.05771350748220178,-0.03357440036633275,0.014749729809248466,0.05343820002198551,0.006367509154226067,0.054739292775536914,0.049643535072837544,0.015396875444321632
WNT7B,0.05032322588368422,0.024935015302874754,-0.03981127750174399,0.033695608130194434,-0.029897402835486097,-0.06748991422431624,0.010673336081492825,-0.006234548021012964,0.04234058221889934,0.024190880925224045,0.082141605518662,0.08090882012605935,-0.006375585221664601,,0.044519582350990176,0.018524816603928667,-0.0204247874341903,0.048036344877709636,-0.0006423372925936432,0.06794261323577916,-0.055182142413640854
PTMA,0.03203993307733575,0.01629875450625558,0.04836598102912924,0.03461491820415387,0.05442843794098863,-0.028731039966861764,0.020150509614984203,-0.06677292355966959,0.025697766771796634,0.13961759227870765,-0.09554132698185466,-0.043966287756532524,-0.020711744399914217,-0.0717987246285395,-0.12933856817826864,-0.07856639422912004,-0.0038010799466636873,-0.036339314231469265,0.002248527186549545,-0.0007001452260401896,0.10182630227135789
FASLG,-0.0195208373663668,,,,,,,,,,,,,,,,,,,0.02180556343788256,
CEACAM1,0.006601596687666252,,0.02338795547607541,-0.02058900465836555,0.0076081945869696495,-0.023654892187930862,,0.07262918349620276,-0.022445651356384624,,,,-0.05344018644317574,-0.033267763557637525,-0.006462929936324981,-0.002577391841989409,-0.0048270702728505765,-0.02495829074673687,0.02325920103647318,0.04392343504422094,
PDAP1,-0.0950269980734258,-0.03419081329302954,-0.022421894268765025,0.016178195771451614,-0.027094985002158397,-0.00735470092997762,0.04211915454801837,0.057450537744831186,0.021315032807654646,0.1329380270507052,-0.0253082454979145,0.005955316763318394,0.002395479482588061,0.013806107209192842,0.09272920506130115,0.0029392034645371224,0.03078955960629578,0.018413962444593476,0.026715865385978806,-0.008993193857827606,-0.04448264584296958
QDPR,-0.003113105286869765,0.009922107515515935,-0.03296233434569732,-0.024968777733674903,0.014482833899742394,-0.03474469813670141,-0.041836621908431224,-0.025827937840851096,-0.035427856316265355,0.04452107047250411,-0.03953198968109998,-0.04595772333407921,0.08826548915179085,0.005813452367866498,-0.05238529521906265,0.0009392933556954554,0.04626818625883865,0.050299764700309536,0.028062521675993348,-0.01131629013406624,-0.03810378664111092
