,UKF251,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk
DCN,-0.021780006799274138,0.09617744450773907,0.026658529594640705,0.025156990784564633,-0.03026488656648335,0.04943069953872309
RARRES2,-0.02930061960298751,0.05135477398230354,0.039218280013994036,-0.02815261750132732,-0.014575370907579354,0.07022942777451317
SEMA4A,0.08786477211467986,-0.036727094816499876,-0.029272940464349466,-0.04820770702727845,0.04005984135442613,-0.018963230346818988
GDF11,-0.001084324670684065,-0.0022575361381277103,-0.07498101876323646,0.01921685009641347,-0.008276805772925415,-0.0259743745279896
GPC3,-0.021714633443579795,,-0.03193200887288944,-0.02546783781881543,0.05469571543326873,-0.02868528067013634
OSTN,,,,,,-0.017348293638650158
GRN,-0.055792798065005124,0.003279596136267163,-0.06592793287923829,0.049515921010064405,-0.0035106366349584852,0.08699905408454169
CALM1,-0.052103821347039975,-0.07939077696339984,-0.12693195053287482,-0.04500902414381729,0.02356544144484132,-0.03413033071345939
ANGPTL4,-0.004163683211640161,-0.033272498157653374,0.054445375202063585,-0.0375865172577229,-0.031350379703357224,0.05935022224100183
BMP8B,0.034779473034972475,-0.07413098194609372,-0.07056397712567884,-0.07405859441157757,-0.0013515760959567572,0.004747720025354884
TNFSF4,0.08119029827669129,-0.06553837954603861,-0.08433484500962811,-0.01653808297977123,0.04533424201597532,0.06421262973939718
RBP4,-0.029713886244003573,0.004564851271408419,,0.01608924119864964,0.029832716717267994,-0.0013912471651903798
DKK3,-0.007110873502432061,0.03482213802703754,0.0336165157219653,-0.003542342421701068,0.04013862640115583,0.0015298741190968817
COL11A1,0.06099342992428716,-0.014683436527128318,,0.07432920286231841,-0.02979833558868094,0.03202817538428156
COL5A1,0.027989327499324198,-0.08563719105918809,-0.022837064492397714,0.14850672217749009,-0.07240176650181429,0.009865301765019381
KISS1,0.012809695397214037,0.015125122206229495,,,-0.021513570588816706,
MEGF10,0.004493840346508563,0.06670124192720961,0.015115503665683743,0.005160340651025593,0.06639270875471695,-0.007481527536427275
CEACAM1,0.028408813827909392,-0.04382962795334,-0.031932020071023,-0.030539045035361607,-0.014484974578646266,-0.02530877412552027
EFEMP2,-0.038609783400366506,-0.03994477745647285,0.04425019577685282,0.005860220307394448,0.05087179472985533,0.0664249529752948
IGF1,-0.00016440960595498515,0.0040757596353746305,0.10359287454995333,0.03521392391184094,0.06830399376978682,0.03903738225618856
COL6A3,-0.00608755678488185,0.0433764882760511,0.008053620116711818,0.06611597089845835,-0.032313788113283955,0.04618036679304057
RLN2,-0.014588578687699319,-0.04942339013364855,,,-0.022505771287484405,-0.028886072832004037
IL13,,0.22466844938836822,,,,
PLAU,-0.012476602140570718,-0.11688753767448204,0.013323532190605988,0.012361699637687207,-0.01884173832289495,0.0788322862153449
CXCL12,-0.032354016847890486,-0.046238070484514525,0.06304712482399095,-0.0163758561408587,-0.03200966254685321,0.06357567520272651
MMP9,-0.013790708499291801,0.08631863974095212,-0.019189928298930608,0.09584058196238499,-0.07363904159141411,-0.0011661367313371646
TNFSF14,-0.020755751304989602,-0.044800261426436554,,-0.014814797294316399,-0.016692442019099422,-0.04227679201218035
HBEGF,0.07357030132761493,0.020602712448808267,0.048420193021062624,0.04703292505389368,-0.019758953125169672,0.05178966826138121
NUCB2,0.018029184495065947,0.003787704645931147,0.07186843914320558,0.004426575398364185,-0.008748545293640508,-0.0015758937412585286
VCAN,0.021398501632476377,-0.009234891882195014,-0.12767487785347387,-0.06446583874268844,0.05050644188074802,-0.014427954303860045
VEGFC,-0.006279032406497064,0.15029886896706415,0.025659499908766585,-0.0324963119449569,0.02533677769738157,0.054385414855679326
LMAN1,-0.0018849532080868125,-0.13416184654082983,0.060191182288507034,0.033374429675481,-0.021986605372291912,0.0443584479192183
IRAK4,-0.03142243042174841,-0.045742975521079,-0.08465847937934728,-0.02650822400668427,0.08691122271659128,0.040075462776335585
MICB,-0.011586178286042473,0.021041269212426685,0.0937401581075214,-0.01485913093933171,-0.006818754746227242,-0.0020966370741528923
