,UKF248,UKF259,UKF313,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.016113806938538387,,0.00606800362509907,
BMP1,0.0477538385583197,-0.0393655285408984,0.035156062292162386,0.09486748259760629,-0.0009223074576305521,0.1192580531791797,0.0025007725657413935
NDP,-0.052974633076865604,0.016863842746399946,0.012116826622433815,0.01247429085343441,0.011950685469961218,0.00880837692408098,-0.020310656896986783
TNFSF18,-0.022969480620928254,,,0.043810266414814766,,-0.003442222146740787,-0.029161279311150083
RTN4,-0.0345059481691023,0.018380560827187413,-0.03084698123758315,-0.07349749697894892,0.034853442361210685,-0.015647340207170443,0.055541802986264585
HEBP1,-0.03738591988067526,0.02969816893934166,-0.02201467866193587,-0.044469254742353595,-0.022408097897722985,0.05471017927689899,-0.004893301672876606
WNT7B,0.006465062533973142,-0.007590509435212144,-0.0019055285282066046,-0.034749341197526956,-0.021233130480834923,0.010626752388424398,0.01832460631111257
PTMA,-0.0536983697255616,-0.011258917654369847,0.04846363780053552,-0.03547518090430999,-0.00118806423977472,0.047492240368470946,-0.015550671655692126
FASLG,,,,,,-0.02879744804234546,
CEACAM1,-0.014619444920593515,-0.03333345177718845,,-0.02387816534060702,-0.014092737508419408,0.04579086482703403,
PDAP1,0.006424445498525494,-0.04292173674617952,0.052055456353597325,0.004904575089823532,0.007389223745811219,0.003186431472995113,-0.05463213957974617
QDPR,-0.06111744750199419,-0.0385313849187134,0.022093063344751702,-0.06472489681054246,-0.02155547290017277,-0.05296463638833087,-0.0009105007287897866
POMC,0.007065967221277843,0.06400641477742351,0.07008038778376874,-0.05164359545498222,-0.023053867262411386,0.05717519951218588,0.03376190753489179
CCL18,-0.018243685956869645,,0.05513016637079007,,0.06029521902870274,,
CCL17,,-0.019320480932237927,,-0.02124512363409729,,-0.026101652131996115,
VEGFD,-0.018243691750094417,-0.021525149313821774,0.052413041626331244,0.00023220090851443722,,,
TNFSF13,-0.013767275231255443,0.05050560094965899,,0.021814965462021236,-0.015825199690958545,-0.011423582644348887,-0.03172331233480135
WNT5A,0.012211012484367074,-0.028200587513282364,0.00921295160421126,-0.02705093438332424,0.058796724456449206,0.06259038003796695,-0.01593161010003302
CXCL8,-0.0012173824407617202,0.01593804635480231,-0.025189074170725228,-0.03016344445027031,0.014043128867365185,-0.022435656771236042,-0.005425507838513929
GRN,0.03463378818563696,-0.011900886993017471,0.04230053585473581,0.12630237085917587,0.047968402914422406,0.08932396083936966,-0.019669354569452378
MIA,-0.03634772830591131,0.017464251602466705,0.011082459951901762,0.0038279501163816657,0.0511903327297795,0.0032870706937757287,-0.03776898607881624
COL4A4,-0.021910518608520967,0.00019489802079543253,,0.06761133906306077,-0.01544283382741476,0.06683333503301125,0.09746642830932635
TAC1,0.00276968325420782,-0.013347872393149059,,,0.008001691294494797,0.039922892201847596,0.06562945574619397
RARRES2,-0.016828675768722965,0.040816223495924765,-0.025464763791706476,-0.03610102737516082,0.030723892248054784,-0.030648877916820316,-0.0191464142891821
FGF7,,-0.016608964226521285,0.008744539185177357,0.05780750404969978,0.025345494335870217,0.04359551616417049,-0.04152410087432168
HBEGF,0.004373211407124335,0.006278910510789996,0.004581042886395575,0.0036904534018447335,0.04467599556612123,0.02690593183270551,0.034140351806156974
CSF3,,0.05277032398265755,0.052013950558123384,,0.07196370940644634,-0.027481013039889316,0.06409675471939315
PI3,-0.019193126812429923,-0.0035848743393651255,,0.09408497615025851,0.04615486386578432,-0.031128735593080326,0.014203802158576704
PCSK1N,0.004474142808264068,-0.030303458650998427,-0.006830847372581919,0.047568863172211276,0.03657255061988193,-0.04174912097783235,0.017082158279274656
NTS,,,,,-0.03024295377967173,-0.018949651861405584,
SFRP1,-0.01620863076840209,0.05231637058502534,-0.0016277253283813705,-0.03735723063866087,-0.048699254999411995,-0.03974996955753213,0.013769426892549856
CXCL13,,,0.02035385748115642,,0.06497778954063767,,-0.03025150561153175
MICA,-0.031049478799384973,-0.016588991382079154,-0.0064008835877113,0.03834127232645748,-0.06983157890728098,0.07532314506567057,0.05312437682633186
TG,-0.015608958080273346,-0.018192308729777194,0.0566848681479141,,-0.016628090756433987,0.060152612238962844,0.01493280321631674
