,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,0.05587095784127368,,,,,,,-0.016113799373786115,-0.014719730986762733
BMP1,0.03598091032162653,-0.059769414557777775,-0.005437909938148575,0.09692575473508834,0.010133151337678198,0.05387777204175216,0.04853402117790027,0.045438211000719375,0.11874596650674295,-0.017968080009880816,0.02932492629135135,0.057177378087727396
NDP,0.021091864265552897,0.029155573354555406,-0.04136659705590826,0.034473762137570405,0.0001895547375984119,-0.010607203463855299,0.08240529286075024,0.08220910362692668,0.03482852473101915,-0.0039481990063486155,-0.04863922058860311,-0.03824348875410153
TNFSF18,0.007271209030728826,,,0.0962952517558732,-0.011390333453262283,,,-0.014542533699235072,,,-0.016617876868923787,0.040953665441772695
IL36G,,,,,,,-0.02514650307475495,,,,,
RTN4,0.05598108887839012,0.03059287751053502,-0.00949023574120929,-0.1139431914571384,-0.05404268325090748,0.027055841577710717,-0.062146120331565184,0.041975631021099934,-0.01921422448133166,0.010372623050500952,-0.021913953519599003,0.028531968942729507
HEBP1,0.027154480313922404,0.01077916944484941,-0.02390447678894827,0.04549387003303554,0.015942568857271834,-0.016398297890428248,-0.0061650672338188425,0.015544143726890178,-0.006013167075119515,0.017291468659852906,-0.021202023087938095,0.03335397413879909
WNT7B,0.038568941603491565,-0.0027808543513495403,0.046368261854009614,-0.009202568966526456,-0.014291455537251615,-0.010917752727135866,0.03350329593025686,,-0.03405274497740417,0.002526206313439687,-0.03474932488417786,0.01985936633248316
PTMA,0.017563994866009618,0.025747001185845813,0.004036739870545747,-0.0017045268820845563,-0.04436179928374751,-0.0025947286257633085,0.08791415855876575,-0.07814725818401047,-0.041298572431182665,-0.04520910692230511,0.02023678857621948,0.019300651682943797
FASLG,,,,,,,,,,,,-0.01276641766311053
