,UKF248,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,-0.04008237172647958,0.02121281542242037,-0.03322391414728496,-0.013089775997229986,0.1527758594161666,0.01749019541584818,0.041871879104544305,-0.07423272776505395,0.10981425057081798,0.09451456041967893,0.03521582037607869,0.037623536936631265,0.00368996850026528,-0.0437152106446833,0.011319151048648802
RARRES2,0.026827612496302295,0.053402435552427734,0.03026426397705557,-0.0529006540637895,0.17943352314771263,0.04223028639240999,-0.004943461060180283,-0.04924372922238831,-0.022158846293860557,-0.08364180701116913,0.026903942415369333,-0.08702588002968054,-0.03004386361614717,0.038717494699691525,0.0017538012991556164
SEMA4A,0.025852739331346238,0.0027696307092935813,-0.012750260245181735,0.03920298137934469,-0.031008573885129787,0.05653190644447875,-0.04494649284138013,-0.03248463746515905,-0.041610567161935834,0.03885663519806969,-0.04843657418859144,-0.0580866266520403,-0.05186627215964048,0.01971830067131647,0.02876933615910059
GDF11,-0.038200675257598654,-0.0688607854281553,-0.013546796805794105,-0.01701366926558286,0.11466544775147948,-0.04224192878203511,0.008250223542187808,0.002719385907547561,-0.046570385012867914,0.010315707184589538,-0.032310398123064514,-0.013788306322778462,-0.00411272631224689,0.06185061113485133,-0.05822611459004992
GPC3,-0.016603375452971192,-0.02334311746167954,0.039619015722344324,-0.07880079115647291,0.08332675399348671,0.008167044342327685,-0.004086018723189338,-0.033631987277840315,0.1388024494833219,0.15163193498521724,-0.01649920480344017,0.03799990107449284,-0.027070315406449913,0.049226674318094,-0.02236991351369694
OSTN,,-0.018774365316977022,0.010296335169294363,,-0.031660727223749,-0.020217282240375688,0.004375126806977067,,,,,-0.019812999310209193,,,-0.024273245738740498
GRN,-0.024958290149235066,0.002499174718768813,0.03181801028685358,-0.05418108408496708,0.15448221921416247,0.05960137881772469,-0.004269511152870379,0.029036964862349118,0.0883579152656935,0.046308910044771036,0.026016752893679138,0.06817327395625744,-0.02592217738046119,-0.011982260953528815,-0.0132633403418964
CALM1,-0.015834849315378235,-0.06420368601196089,0.008296886655311668,0.08889655295084983,-0.18051434285837956,0.0083368519123621,-0.010402379341800827,-0.0571222520552767,-0.016882886843805216,0.06979419692032497,0.0366470781429876,-0.0915833452925782,0.04625472557625298,0.08564793807668729,0.019234782458418843
ANGPTL4,0.010953620373255285,0.0420461952336832,-0.046253250777771725,0.020968736306466864,-0.020215153539193162,0.002283737868707828,-0.025899805752056047,0.04347637634129165,0.11636533186329698,-0.11443092892845022,-0.05758034753386635,0.028718151759328635,-0.03316259314083609,-0.05099296915392669,-0.06823458337581025
BMP8B,0.012433748838783332,-0.016310147504429426,-0.026112855865514647,-0.05040540091141901,-0.002409375596861945,0.023610867375072002,-0.019370058254304805,-0.008528556380505375,0.10084591113519603,-0.04122202770146425,-0.004369458856900986,0.01991262104148066,-0.06164189250248054,-0.0186872326945347,-0.04739999049493813
TNFSF4,-0.026270722034272585,0.04208750052400217,-0.04061936083204704,-0.012887203752905236,0.01796392069329361,0.001131646966926496,-0.026216909522316353,0.004207899722039131,0.10526212872815671,0.017710394708975927,0.10121574525036268,0.08943190957624632,-0.028620836214323844,0.15080435705259537,0.000804414032615699
RBP4,0.034846659810591485,-0.020349844460086787,-0.007531503796372727,0.004138694150899216,-0.11402967792982473,0.018666936032219007,0.007421747267514123,,-0.0004616515579613785,0.009976699195188973,0.0020432785734270965,-0.008016379572774773,0.00926727805116051,0.006206718481922268,0.018049420324421816
DKK3,0.014557096854161991,0.02775779283444064,0.017535063243213408,0.11535128765398409,-0.17720069944392505,-0.007486010467300279,-0.08819658423394068,-0.07483682738069124,0.03396639983972727,0.051493642903789646,0.015649006983514145,0.04841654437608128,0.006637201985170069,0.08154338849248523,0.013446831920456988
COL11A1,-0.04954216658948261,-0.016574543938385408,0.014924086930688397,-0.08097527008492113,-0.055533657571656576,-0.02041082201069722,-0.033855697810916095,,0.07957328635762485,-0.006491134291661013,-0.028948539836253673,0.007315114568037795,-0.0267808092500141,0.006474971498870125,-0.035018960117975284
COL5A1,-0.04375609733977333,0.08058271378061603,0.01771131070451134,-0.04908975068177834,0.10841347123331149,-0.037644019427098795,0.015079147272925723,0.0496222296018218,0.10208142691218765,0.015668718027248923,0.009592332865021723,0.09546029899719832,-0.008796705425999909,-0.059412903010731974,-0.04787160420791066
KISS1,,,-0.0041259122161130014,,,,,,,-0.03014351697390618,-0.015068498399107833,,-0.016830644658650324,,
MEGF10,-0.014138020087236454,-0.028281605722365242,0.030655991308351616,-0.002963923340590097,-0.008768119428157455,-0.03878789104764055,0.020517685273804126,0.022665221513602205,0.041627053362554865,0.001532202795727134,0.052181854572871424,0.05912861335193436,0.02651463938550716,0.1414006817092474,-0.016626341753933054
