,UKF243,UKF259,UKF334,ZH1019inf
BMP1,0.036306141232394465,0.03802741566528508,0.11189868825438835,0.018771409295539863
NDP,0.06864227714036857,3.84697384896513e-06,0.10850309620511256,0.05972720869157444
TNFSF18,-0.004957114400141808,,,
IL36G,,,-0.013779717622902386,
RTN4,-0.033287664477030444,-0.007707382369821375,-0.09126489745440572,-0.02735734916561919
HEBP1,0.05146472322963537,0.009531985588991177,0.03881421883460578,0.10386445812649849
WNT7B,-0.04097816682141847,-0.022423415378701413,-0.03521237727248597,-0.03139835290445194
PTMA,-0.04701050338650762,0.07128175927415625,0.056838258179493034,-0.07169277332234246
CEACAM1,,-0.014840823723721887,,-0.028158545803064837
PDAP1,0.004951988442474291,-0.00464754391667166,0.03209123109485765,0.06462580561068185
QDPR,0.07972572758404199,-0.024354024825950234,0.011190020633340503,-0.04845831230136448
POMC,-0.04989962509651404,0.049834394243476604,-0.030249935696505383,0.00026962728420901996
CCL18,0.045847023275523695,,,-0.019964871945277
CCL17,,-0.015007680523775602,-0.016198034617402577,
VEGFD,-0.02593903805534736,0.017666032625600663,0.015089678855260628,
TNFSF13,,-0.01035196214349223,,
WNT5A,-0.023909744141619206,-0.007722044443782167,0.04769547031847485,0.07382800200873404
CXCL8,-0.029269029341860712,0.016873414719948552,-0.004781572051459716,-0.03515130039365012
GRN,-0.0021107754821576875,-0.05113220100277988,0.020253812534188006,0.026601125923582054
MIA,0.05477882773200684,-0.01373892098660181,-0.01666272794941826,-0.010197177741201298
COL4A4,0.049404008522777265,-0.03617053681547383,0.01947650903345808,-0.025241836228384128
TAC1,0.0383454645381999,0.024263168941575187,-0.10414434240157928,
RARRES2,0.014704979964151,-0.025310886642080626,0.0964190906976978,-0.029095469083529463
FGF7,0.012302930158705446,-0.005397823604714517,0.11311148710221566,0.03079024847181824
HBEGF,-0.01897073412044349,-0.029888308931820227,0.04298975333306966,-0.003592770367617194
CSF3,0.006485117348663799,0.04535233500104664,,
PI3,-0.04762138799064161,-0.01092278180765709,,
PCSK1N,0.046145260525549785,-0.0016651977352105044,-0.08382536473140302,-0.023411043342651906
SFRP1,0.04523553046521112,-0.013094781357731369,0.04439085123928894,0.008977698870519257
MICA,0.0541910613810953,-0.002112095617775901,0.04647406598820071,0.03010597518693959
TG,0.0047821540734717255,-0.014131343746771068,-0.02597004810463002,0.22988369436474215
ADA,-0.022732462924030562,0.02183305960018887,0.03067211537204302,0.08432008152028056
LAMC3,0.03466552304366248,0.006857039212369403,0.04040981278830217,0.10446780298755913
CCL7,,-0.010216938950853445,,
NGF,-0.02315963000753185,0.0031315609596398166,,-0.029669060196047082
TNFSF15,-0.028651352720030908,0.08974816595099644,,-0.004946704444690667
HMGB1,-0.007246272757046091,0.04537280286744304,0.023796617456237606,-0.023524764974924162
ITGB3BP,0.019260444298134668,0.00041668377890315085,0.0895005922764855,0.0023456484462463074
AANAT,0.0013595123154608098,-0.010351963248337445,0.04336565123099681,-0.020794251021309898
RELN,0.01891702459769171,-0.017968689928273086,0.044868555772912225,
IL15,-0.040727403328653086,-0.0032490783398340683,-0.013984263730048026,0.13096693772109014
BSG,0.05292366991752798,-0.06424224854073625,-0.001581619070050434,0.0487260286243688
ADAMTS3,-0.06769798356138539,0.0270794817940984,0.05130634568014923,0.033637753370969255
CD34,0.05264451687912771,0.06022818880244944,-0.01212552266588432,0.08121254589481032
PLAT,0.01225108945101764,-0.021218507675921896,0.11971984011530429,0.012428454312936153
LTA,,-0.013094780745136914,-0.018589254013871633,
CKLF,0.040099350193531204,-0.048241573164714564,0.13285008590995556,0.0007190138501220897
CD24,0.06095066031295305,-0.016714705592067666,0.029241762388759737,0.012836841081435313
HSP90AA1,-0.09872443638063293,0.05428415372999575,-0.10935890143383148,-0.010424761782058221
BMP4,-0.050123104480514755,0.018105626498872245,0.006627720264712878,0.1023534542130073
SCGB3A1,,,0.04080479740007408,
IGFBP4,-0.012354412726353601,0.008240604729061702,0.07699001553334671,-0.02780997923383305
RSPO4,0.05603875873053606,-0.020043856141285652,-0.014891645253407937,
LEFTY2,0.0019715880640596953,0.043329949001477235,0.023466057949356217,-0.026573290495934127
PF4,,-0.00891407794892009,,
ANGPTL2,-0.026377340532161175,-0.039250861244244636,0.10603553228502806,-0.02162914595939841
LRIG2,-0.00543518906768383,0.044156121536187136,0.051011527619057855,-0.0405021400803094
ICOSLG,0.06334258955040266,-0.01742942374335541,0.007235694726052685,0.030590247421398344
WIF1,0.014406697963358807,,-0.10078870621802859,
NPPC,0.009306725913969662,0.027997431551287134,0.037292983303364634,-0.024898950835495502
LYZ,-0.04472708400622376,-0.052051447296917436,0.037399151824096866,-0.04687701809615942
SPTAN1,0.0795132500252857,0.013816122078907757,0.013468099936596088,0.012535961093028614
LIPC,-0.0376485139492026,-0.01601926197113682,0.04189037764962347,0.0070799435041343185
COL8A1,-0.0003736978930205783,0.01123561523545009,0.09206242919331481,0.06140864812196263
GSTM2,0.12109124874181436,0.008281852061061516,0.050651617916632884,-0.03811521252073998
SPX,0.023237534699347574,-0.02624936165988732,-0.09216450620023414,-0.04492604185638999
MFGE8,0.022320211322842468,-0.004511821431558112,0.010425647852630641,0.029471074876782695
TGFA,0.06708060400762793,0.0768269569878155,0.1076246919970924,0.02188959593388937
SLIT2,-0.03545230441998963,-0.030338900207243724,-0.04556003372402561,-0.028158511398252966
PLTP,0.013375164450328693,-0.013633793526392728,0.10447049115907467,-0.019330533661753874
APOD,-0.09853218863832061,0.011607340497673445,-0.009442518290470842,-0.003666746219179774
B2M,-0.007168958430890252,-0.00901019225935399,0.1674372731005842,-0.0032513294552819674
OMG,0.08257579229534247,-0.014833761224843,-0.005381054249592446,0.0065051385195320326
CXCL3,0.07441831118091959,0.02205372854617921,-0.03697972957140978,
CXCL10,0.07537261426256785,-0.010682639395033354,-0.0466408523120062,-0.03358569169567655
RSPO3,,-0.010351962483444565,-0.03864310468765094,
CORT,0.02623507250520647,0.04109696373260791,-0.042567484320221186,
NCAN,-0.03461053584847137,-0.02867901815068161,0.1934041610007958,0.1186032287148094
PRG4,0.11115075645804724,0.04637226124541912,-0.004041311053086892,
ZG16B,,-0.011858009029348072,,-0.023116245400562684
TGM2,0.018945667899788226,0.04198319791090901,-0.04698580696443089,0.04399657941253354
VEGFC,0.0411299142271607,0.045407759834874314,0.03326743099229561,0.1346707688054763
WNT6,0.08332606314242887,-0.014131344333511956,0.010447567741899588,0.2727111980976167
NRG4,-0.009417957255284342,-0.012434484023710897,-0.05379056046193782,
PMCH,,-0.017229189026109294,,
COL9A1,-0.018837069134476556,-0.012986911022915265,-0.03678402768646348,-0.032878391236837244
