,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.040459391028045785,,,,,,,,,,-0.045436856759381535,,,
BMP1,0.07562752102853194,0.04997964258121884,0.049970861419792616,0.009554859597663464,-0.02530677938981909,0.00036765083807287593,-0.039783833160935755,-0.32030947518866953,-0.09736972040618845,-0.008581058232349587,-0.07694791334210267,0.03189440949253631,-0.16458753184401037,-0.001967736687439017,0.16749241241984306,-0.07976676100278407,0.08854234332469972,-0.04288447662313766,-0.10410095975652914,0.03846633647878356,-0.03858386443708823
NDP,-0.013953499337793938,-0.04446187393257082,0.03234266310147412,0.007141826827768352,0.021056856045536594,0.10374624638945834,0.0977076546878962,-0.06518729238275266,0.03259548575002731,-0.004035868310879691,-0.11145111679417768,0.023120468711674187,-0.01676839583765178,0.09573231478294389,0.06952029339366347,0.19868619480506078,-0.08766766718270909,-0.09321396208473565,0.09782806008529112,-0.04472585331366013,0.052912924885899874
TNFSF18,0.09918622727898661,-0.0458000643414961,0.03810506074645117,0.013608468470440912,,,0.021345080676250034,-0.07154512974690622,-0.0019387954388858648,,,,,-0.016318564195447964,,0.059754673272556694,,-0.04685822836833044,,-0.04872242973414727,
IL36G,,,,,,,,,,,,,-0.034414438753236444,,,,,,,,
RTN4,0.05050510969115853,0.2874136575935716,-0.02183910755946006,0.030991747599618532,0.06057590740756985,0.14124005866248185,0.26125665368743267,0.43839556710115096,0.09164659628476554,0.05389270370013516,0.29778454150550365,-0.0034167150587785865,0.261853263491816,0.08486617727484543,-0.001248578552389777,0.0281166064662895,-0.011766794834819858,0.06336640864115303,-0.03886290083363805,0.3366462857330509,0.09595798254638634
HEBP1,-0.017762862423053426,-0.05732665991324497,0.08433193959117964,0.04646744324944043,-0.007329790269119959,-0.03127922213556497,-0.10869700536619677,-0.12330340505965326,-0.03622458509598173,0.023401322998819467,-0.09366280995460873,0.012663297991600018,0.017495150141741772,-0.05683790843484668,0.05182431812340372,-0.03622937030843703,0.01115224970934976,0.0018191836544349403,0.042764750361670954,-0.015543873265688478,0.03579104178333815
WNT7B,0.2662647002501697,0.21783902204290498,0.03651386003852248,-0.020301678780840045,-0.012964468738818196,0.006658065762559942,0.059244705595911905,0.3044946125038453,0.03944832619737948,0.04805776714409263,,-0.0006688303411284412,0.12370535232555252,-0.0066842083951187915,-0.012421724641258035,,0.012677758843994962,0.029752857113126266,-0.021792635774062916,0.022446026275120576,0.11646580177108004
PTMA,0.10083149051501522,-0.09875644263982664,0.019114227274126278,0.05375953163745867,0.02019378565428738,-0.14483541038262418,-0.23807541004271443,0.09497821345148832,0.10271113266490613,-0.03411267662665811,-0.34506658968560716,-0.001476522955696662,-0.26375699163265837,0.006753574207995331,-0.16769986707662318,-0.09249863772939516,-0.11223578797786532,0.10066984575344351,-0.08871375502543195,-0.08766358923669863,-0.1547986497781134
FASLG,0.058453243227669725,,,,,,,,,,,,,,,,,,,,
